[2020-10-26 18:48:32 #1366 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_QC2410-20.ini [--hc=1318]
[2020-10-26 18:48:32 #1366 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:48:33 #1366 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:48:33 #1366 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:48:33 #1366 INFO] Reading the risk model if present
[2020-10-26 18:48:36 #1366 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_QC2410-20.xml
[2020-10-26 18:48:43 #1366 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:48:43 #1366 INFO] Associated 69827 assets to 463 sites
[2020-10-26 18:48:47 #1366 INFO] Reducing risk model from 4224 to 512 taxonomies
[2020-10-26 18:48:47 #1366 INFO] Storing risk model
[2020-10-26 18:48:48 #1366 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:48:49 #1366 INFO] Built 487 risk inputs
[2020-10-26 18:48:51 #1366 INFO] Sent 121 tasks, 16.78 MB in 0 seconds
[2020-10-26 18:48:58 #1366 INFO] classical_damage   1% [121 submitted, 0 queued]
[2020-10-26 18:48:58 #1366 INFO] classical_damage   2% [121 submitted, 0 queued]
[2020-10-26 18:48:58 #1366 INFO] classical_damage   3% [121 submitted, 0 queued]
[2020-10-26 18:48:58 #1366 INFO] classical_damage   4% [121 submitted, 0 queued]
[2020-10-26 18:48:58 #1366 INFO] classical_damage   5% [121 submitted, 0 queued]
[2020-10-26 18:48:59 #1366 INFO] classical_damage   6% [121 submitted, 0 queued]
[2020-10-26 18:48:59 #1366 INFO] classical_damage   7% [121 submitted, 0 queued]
[2020-10-26 18:48:59 #1366 INFO] classical_damage   8% [121 submitted, 0 queued]
[2020-10-26 18:48:59 #1366 INFO] classical_damage   9% [121 submitted, 0 queued]
[2020-10-26 18:48:59 #1366 INFO] classical_damage  10% [121 submitted, 0 queued]
[2020-10-26 18:49:00 #1366 INFO] classical_damage  11% [121 submitted, 0 queued]
[2020-10-26 18:49:00 #1366 INFO] classical_damage  12% [121 submitted, 0 queued]
[2020-10-26 18:49:00 #1366 INFO] classical_damage  13% [121 submitted, 0 queued]
[2020-10-26 18:49:00 #1366 INFO] classical_damage  14% [121 submitted, 0 queued]
[2020-10-26 18:49:00 #1366 INFO] classical_damage  15% [121 submitted, 0 queued]
[2020-10-26 18:49:01 #1366 INFO] classical_damage  16% [121 submitted, 0 queued]
[2020-10-26 18:49:01 #1366 INFO] classical_damage  17% [121 submitted, 0 queued]
[2020-10-26 18:49:01 #1366 INFO] classical_damage  18% [121 submitted, 0 queued]
[2020-10-26 18:49:01 #1366 INFO] classical_damage  19% [121 submitted, 0 queued]
[2020-10-26 18:49:01 #1366 INFO] classical_damage  20% [121 submitted, 0 queued]
[2020-10-26 18:49:01 #1366 INFO] classical_damage  21% [121 submitted, 0 queued]
[2020-10-26 18:49:02 #1366 INFO] classical_damage  22% [121 submitted, 0 queued]
[2020-10-26 18:49:02 #1366 INFO] classical_damage  23% [121 submitted, 0 queued]
[2020-10-26 18:49:02 #1366 INFO] classical_damage  24% [121 submitted, 0 queued]
[2020-10-26 18:49:02 #1366 INFO] classical_damage  25% [121 submitted, 0 queued]
[2020-10-26 18:49:02 #1366 INFO] classical_damage  26% [121 submitted, 0 queued]
[2020-10-26 18:49:03 #1366 INFO] classical_damage  27% [121 submitted, 0 queued]
[2020-10-26 18:49:03 #1366 INFO] classical_damage  28% [121 submitted, 0 queued]
[2020-10-26 18:49:03 #1366 INFO] classical_damage  29% [121 submitted, 0 queued]
[2020-10-26 18:49:03 #1366 INFO] classical_damage  30% [121 submitted, 0 queued]
[2020-10-26 18:49:04 #1366 INFO] classical_damage  31% [121 submitted, 0 queued]
[2020-10-26 18:49:04 #1366 INFO] classical_damage  32% [121 submitted, 0 queued]
[2020-10-26 18:49:04 #1366 INFO] classical_damage  33% [121 submitted, 0 queued]
[2020-10-26 18:49:05 #1366 INFO] classical_damage  34% [121 submitted, 0 queued]
[2020-10-26 18:49:05 #1366 INFO] classical_damage  35% [121 submitted, 0 queued]
[2020-10-26 18:49:05 #1366 INFO] classical_damage  36% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  37% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  38% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  39% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  40% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  41% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  42% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  43% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  44% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  45% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  46% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  47% [121 submitted, 0 queued]
[2020-10-26 18:49:06 #1366 INFO] classical_damage  48% [121 submitted, 0 queued]
[2020-10-26 18:49:07 #1366 INFO] classical_damage  49% [121 submitted, 0 queued]
[2020-10-26 18:49:07 #1366 INFO] classical_damage  50% [121 submitted, 0 queued]
[2020-10-26 18:49:07 #1366 INFO] classical_damage  51% [121 submitted, 0 queued]
[2020-10-26 18:49:07 #1366 INFO] classical_damage  52% [121 submitted, 0 queued]
[2020-10-26 18:49:07 #1366 INFO] classical_damage  53% [121 submitted, 0 queued]
[2020-10-26 18:49:07 #1366 INFO] classical_damage  54% [121 submitted, 0 queued]
[2020-10-26 18:49:07 #1366 INFO] classical_damage  55% [121 submitted, 0 queued]
[2020-10-26 18:49:07 #1366 INFO] classical_damage  56% [121 submitted, 0 queued]
[2020-10-26 18:49:07 #1366 INFO] classical_damage  57% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  58% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  59% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  60% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  61% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  62% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  63% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  64% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  65% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  66% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  67% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  68% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  69% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  70% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  71% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  72% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  73% [121 submitted, 0 queued]
[2020-10-26 18:49:08 #1366 INFO] classical_damage  74% [121 submitted, 0 queued]
