[2020-10-26 18:14:23 #1330 INFO] murray.journeay running /mnt/data/shared/canada-2020/canada-srm2/cDamage/input/cDamage_r2_AB4870-80.ini [--hc=1309]
[2020-10-26 18:14:23 #1330 INFO] Using engine version 3.11.0-git4f03c56
[2020-10-26 18:14:24 #1330 WARNING] Using 64 cores on gem-compute
[2020-10-26 18:14:24 #1330 INFO] Checksum of the input files: 1508585000
[2020-10-26 18:14:24 #1330 INFO] Reading the risk model if present
[2020-10-26 18:14:28 #1330 INFO] Reading /mnt/data/shared/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_AB4870-80.xml
[2020-10-26 18:14:33 #1330 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-10-26 18:14:35 #1330 INFO] Associated 59464 assets to 1202 sites
[2020-10-26 18:14:38 #1330 INFO] Reducing risk model from 4224 to 461 taxonomies
[2020-10-26 18:14:38 #1330 INFO] Storing risk model
[2020-10-26 18:14:40 #1330 INFO] Building risk inputs from 50 realization(s)
[2020-10-26 18:14:40 #1330 INFO] Built 1206 risk inputs
[2020-10-26 18:14:42 #1330 INFO] Sent 136 tasks, 16.58 MB in 0 seconds
[2020-10-26 18:14:47 #1330 INFO] classical_damage   1% [136 submitted, 0 queued]
[2020-10-26 18:14:47 #1330 INFO] classical_damage   2% [136 submitted, 0 queued]
[2020-10-26 18:14:48 #1330 INFO] classical_damage   3% [136 submitted, 0 queued]
[2020-10-26 18:14:48 #1330 INFO] classical_damage   4% [136 submitted, 0 queued]
[2020-10-26 18:14:48 #1330 INFO] classical_damage   5% [136 submitted, 0 queued]
[2020-10-26 18:14:48 #1330 INFO] classical_damage   6% [136 submitted, 0 queued]
[2020-10-26 18:14:48 #1330 INFO] classical_damage   7% [136 submitted, 0 queued]
[2020-10-26 18:14:49 #1330 INFO] classical_damage   8% [136 submitted, 0 queued]
[2020-10-26 18:14:49 #1330 INFO] classical_damage   9% [136 submitted, 0 queued]
[2020-10-26 18:14:49 #1330 INFO] classical_damage  10% [136 submitted, 0 queued]
[2020-10-26 18:14:50 #1330 INFO] classical_damage  11% [136 submitted, 0 queued]
[2020-10-26 18:14:50 #1330 INFO] classical_damage  12% [136 submitted, 0 queued]
[2020-10-26 18:14:50 #1330 INFO] classical_damage  13% [136 submitted, 0 queued]
[2020-10-26 18:14:50 #1330 INFO] classical_damage  14% [136 submitted, 0 queued]
[2020-10-26 18:14:51 #1330 INFO] classical_damage  15% [136 submitted, 0 queued]
[2020-10-26 18:14:51 #1330 INFO] classical_damage  16% [136 submitted, 0 queued]
