#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-14T00:29:19', checksum=2901892693, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
50,3.56039E+02,contents,Wood,6.34535E-06,2.00000E-02
100,5.67711E+03,contents,Wood,1.01178E-04,1.00000E-02
250,8.51203E+04,contents,Wood,1.51702E-03,4.00000E-03
500,3.26305E+05,contents,Wood,5.81544E-03,2.00000E-03
1000,7.85512E+05,contents,Wood,1.39995E-02,1.00000E-03
2500,1.79920E+06,contents,Wood,3.20655E-02,4.00000E-04
50,4.51214E+03,nonstructural,Wood,1.54993E-05,2.00000E-02
100,6.12291E+04,nonstructural,Wood,2.10324E-04,1.00000E-02
250,5.70735E+05,nonstructural,Wood,1.96049E-03,4.00000E-03
500,1.54630E+06,nonstructural,Wood,5.31158E-03,2.00000E-03
1000,3.01054E+06,nonstructural,Wood,1.03413E-02,1.00000E-03
2500,5.93440E+06,nonstructural,Wood,2.03848E-02,4.00000E-04
250,1.17327E-04,occupants,Wood,7.52878E-08,4.00000E-03
500,1.02175E-03,occupants,Wood,6.55647E-07,2.00000E-03
1000,4.20513E-03,occupants,Wood,2.69840E-06,1.00000E-03
2500,1.74589E-02,occupants,Wood,1.12032E-05,4.00000E-04
25,1.10775E+05,structural,Wood,1.26953E-03,4.00000E-02
50,5.88806E+05,structural,Wood,6.74797E-03,2.00000E-02
100,1.14326E+06,structural,Wood,1.31022E-02,1.00000E-02
250,1.72355E+06,structural,Wood,1.97526E-02,4.00000E-03
500,2.38473E+06,structural,Wood,2.73301E-02,2.00000E-03
1000,3.79870E+06,structural,Wood,4.35347E-02,1.00000E-03
2500,7.25532E+06,structural,Wood,8.31491E-02,4.00000E-04
25,1.78855E+04,contents,URMasonry,3.57235E-04,4.00000E-02
50,2.08465E+05,contents,URMasonry,4.16378E-03,2.00000E-02
100,5.72127E+05,contents,URMasonry,1.14274E-02,1.00000E-02
250,1.32825E+06,contents,URMasonry,2.65298E-02,4.00000E-03
500,2.07178E+06,contents,URMasonry,4.13806E-02,2.00000E-03
1000,2.93487E+06,contents,URMasonry,5.86196E-02,1.00000E-03
2500,4.21419E+06,contents,URMasonry,8.41720E-02,4.00000E-04
25,1.73254E+04,nonstructural,URMasonry,1.55825E-04,4.00000E-02
50,2.42125E+05,nonstructural,URMasonry,2.17768E-03,2.00000E-02
100,9.24009E+05,nonstructural,URMasonry,8.31059E-03,1.00000E-02
250,3.42634E+06,nonstructural,URMasonry,3.08166E-02,4.00000E-03
500,6.88551E+06,nonstructural,URMasonry,6.19286E-02,2.00000E-03
1000,1.15730E+07,nonstructural,URMasonry,1.04088E-01,1.00000E-03
2500,2.01591E+07,nonstructural,URMasonry,1.81312E-01,4.00000E-04
100,1.15525E-04,occupants,URMasonry,6.87804E-08,1.00000E-02
250,1.61881E-02,occupants,URMasonry,9.63794E-06,4.00000E-03
500,1.04406E-01,occupants,URMasonry,6.21607E-05,2.00000E-03
1000,3.37561E-01,occupants,URMasonry,2.00975E-04,1.00000E-03
2500,1.03250E+00,occupants,URMasonry,6.14724E-04,4.00000E-04
25,5.95223E+01,structural,URMasonry,1.06503E-06,4.00000E-02
50,1.80502E+04,structural,URMasonry,3.22971E-04,2.00000E-02
100,1.68408E+05,structural,URMasonry,3.01331E-03,1.00000E-02
250,1.14830E+06,structural,URMasonry,2.05464E-02,4.00000E-03
500,2.85795E+06,structural,URMasonry,5.11370E-02,2.00000E-03
1000,5.35394E+06,structural,URMasonry,9.57975E-02,1.00000E-03
2500,1.03434E+07,structural,URMasonry,1.85073E-01,4.00000E-04
25,6.74819E+00,contents,Concrete,7.42278E-08,4.00000E-02
50,4.28655E+02,contents,Concrete,4.71506E-06,2.00000E-02
100,6.45351E+03,contents,Concrete,7.09864E-05,1.00000E-02
250,7.64805E+04,contents,Concrete,8.41260E-04,4.00000E-03
500,2.34588E+05,contents,Concrete,2.58039E-03,2.00000E-03
1000,5.39691E+05,contents,Concrete,5.93642E-03,1.00000E-03
2500,1.15078E+06,contents,Concrete,1.26582E-02,4.00000E-04
25,1.76635E+02,nonstructural,Concrete,6.81127E-07,4.00000E-02
50,7.59784E+03,nonstructural,Concrete,2.92983E-05,2.00000E-02
100,5.66283E+04,nonstructural,Concrete,2.18366E-04,1.00000E-02
250,4.00722E+05,nonstructural,Concrete,1.54524E-03,4.00000E-03
500,9.14919E+05,nonstructural,Concrete,3.52805E-03,2.00000E-03
1000,1.62263E+06,nonstructural,Concrete,6.25709E-03,1.00000E-03
2500,2.99596E+06,nonstructural,Concrete,1.15528E-02,4.00000E-04
100,2.44278E-04,occupants,Concrete,1.32153E-07,1.00000E-02
250,8.96343E-03,occupants,Concrete,4.84916E-06,4.00000E-03
500,4.07039E-02,occupants,Concrete,2.20206E-05,2.00000E-03
1000,1.16871E-01,occupants,Concrete,6.32263E-05,1.00000E-03
2500,2.85714E-01,occupants,Concrete,1.54569E-04,4.00000E-04
25,4.90384E+01,structural,Concrete,4.27455E-07,4.00000E-02
50,3.39105E+03,structural,Concrete,2.95590E-05,2.00000E-02
100,4.85480E+04,structural,Concrete,4.23181E-04,1.00000E-02
250,5.08833E+05,structural,Concrete,4.43537E-03,4.00000E-03
500,1.18611E+06,structural,Concrete,1.03390E-02,2.00000E-03
1000,2.08340E+06,structural,Concrete,1.81604E-02,1.00000E-03
2500,3.81386E+06,structural,Concrete,3.32444E-02,4.00000E-04
50,1.84028E+01,contents,RMasonry,1.28319E-06,2.00000E-02
100,5.06642E+02,contents,RMasonry,3.53272E-05,1.00000E-02
250,9.54749E+03,contents,RMasonry,6.65728E-04,4.00000E-03
500,4.25538E+04,contents,RMasonry,2.96719E-03,2.00000E-03
1000,1.23701E+05,contents,RMasonry,8.62542E-03,1.00000E-03
2500,3.21093E+05,contents,RMasonry,2.23892E-02,4.00000E-04
50,3.77907E+02,nonstructural,RMasonry,1.07627E-05,2.00000E-02
100,4.53223E+03,nonstructural,RMasonry,1.29077E-04,1.00000E-02
250,3.81809E+04,nonstructural,RMasonry,1.08739E-03,4.00000E-03
500,1.08955E+05,nonstructural,RMasonry,3.10303E-03,2.00000E-03
1000,2.42744E+05,nonstructural,RMasonry,6.91333E-03,1.00000E-03
2500,5.35754E+05,nonstructural,RMasonry,1.52582E-02,4.00000E-04
250,2.84155E-05,occupants,RMasonry,6.30362E-08,4.00000E-03
500,4.33333E-04,occupants,RMasonry,9.61295E-07,2.00000E-03
1000,2.53816E-03,occupants,RMasonry,5.63060E-06,1.00000E-03
2500,1.28535E-02,occupants,RMasonry,2.85139E-05,4.00000E-04
50,4.59620E+01,structural,RMasonry,2.66343E-06,2.00000E-02
100,1.19451E+03,structural,RMasonry,6.92202E-05,1.00000E-02
250,1.82349E+04,structural,RMasonry,1.05669E-03,4.00000E-03
500,6.34178E+04,structural,RMasonry,3.67496E-03,2.00000E-03
1000,1.50094E+05,structural,RMasonry,8.69773E-03,1.00000E-03
2500,3.42002E+05,structural,RMasonry,1.98185E-02,4.00000E-04
50,7.49902E+01,contents,Steel,3.11593E-06,2.00000E-02
100,1.41141E+03,contents,Steel,5.86458E-05,1.00000E-02
250,2.20476E+04,contents,Steel,9.16100E-04,4.00000E-03
500,7.74075E+04,contents,Steel,3.21637E-03,2.00000E-03
1000,1.91983E+05,contents,Steel,7.97713E-03,1.00000E-03
2500,4.51393E+05,contents,Steel,1.87559E-02,4.00000E-04
25,2.53416E+01,nonstructural,Steel,5.15355E-07,4.00000E-02
50,3.00645E+03,nonstructural,Steel,6.11402E-05,2.00000E-02
100,2.13707E+04,nonstructural,Steel,4.34602E-04,1.00000E-02
250,1.22156E+05,nonstructural,Steel,2.48420E-03,4.00000E-03
500,2.78522E+05,nonstructural,Steel,5.66412E-03,2.00000E-03
1000,5.07200E+05,nonstructural,Steel,1.03146E-02,1.00000E-03
2500,9.39374E+05,nonstructural,Steel,1.91034E-02,4.00000E-04
100,4.22300E-05,occupants,Steel,5.93919E-08,1.00000E-02
250,2.08543E-03,occupants,Steel,2.93292E-06,4.00000E-03
500,1.19305E-02,occupants,Steel,1.67790E-05,2.00000E-03
1000,3.48362E-02,occupants,Steel,4.89933E-05,1.00000E-03
2500,9.08757E-02,occupants,Steel,1.27807E-04,4.00000E-04
25,1.28161E+00,structural,Steel,4.65283E-08,4.00000E-02
50,1.15616E+03,structural,Steel,4.19737E-05,2.00000E-02
100,1.39960E+04,structural,Steel,5.08116E-04,1.00000E-02
250,1.29626E+05,structural,Steel,4.70600E-03,4.00000E-03
500,3.23290E+05,structural,Steel,1.17369E-02,2.00000E-03
1000,5.75355E+05,structural,Steel,2.08880E-02,1.00000E-03
2500,1.08982E+06,structural,Steel,3.95652E-02,4.00000E-04
100,3.27401E+01,contents,Precast,6.29260E-06,1.00000E-02
250,6.93249E+02,contents,Precast,1.33241E-04,4.00000E-03
500,5.13222E+03,contents,Precast,9.86406E-04,2.00000E-03
1000,2.12553E+04,contents,Precast,4.08525E-03,1.00000E-03
2500,8.58217E+04,contents,Precast,1.64948E-02,4.00000E-04
50,5.06552E+01,nonstructural,Precast,5.37043E-06,2.00000E-02
100,1.36032E+03,nonstructural,Precast,1.44220E-04,1.00000E-02
250,1.24593E+04,nonstructural,Precast,1.32093E-03,4.00000E-03
500,3.44329E+04,nonstructural,Precast,3.65055E-03,2.00000E-03
1000,7.63988E+04,nonstructural,Precast,8.09974E-03,1.00000E-03
2500,1.83410E+05,nonstructural,Precast,1.94450E-02,4.00000E-04
500,4.92656E-07,occupants,Precast,5.59391E-09,2.00000E-03
1000,3.05351E-04,occupants,Precast,3.46714E-06,1.00000E-03
2500,4.13993E-03,occupants,Precast,4.70073E-05,4.00000E-04
50,2.84447E+00,structural,Precast,4.92033E-07,2.00000E-02
100,2.90307E+02,structural,Precast,5.02170E-05,1.00000E-02
250,6.87537E+03,structural,Precast,1.18929E-03,4.00000E-03
500,2.83909E+04,structural,Precast,4.91102E-03,2.00000E-03
