#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-12T21:57:09', checksum=1523211967, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
5,1.46622E-04,contents,Wood,2.61311E-12,2.00000E-01
10,1.20733E+01,contents,Wood,2.15171E-07,1.00000E-01
25,7.15652E+02,contents,Wood,1.27544E-05,4.00000E-02
50,7.16324E+03,contents,Wood,1.27664E-04,2.00000E-02
100,4.57488E+04,contents,Wood,8.15340E-04,1.00000E-02
250,2.79165E+05,contents,Wood,4.97530E-03,4.00000E-03
500,7.27747E+05,contents,Wood,1.29700E-02,2.00000E-03
1000,1.48819E+06,contents,Wood,2.65226E-02,1.00000E-03
2500,3.01902E+06,contents,Wood,5.38052E-02,4.00000E-04
5,3.47865E-02,nonstructural,Wood,1.19493E-10,2.00000E-01
10,1.73549E+02,nonstructural,Wood,5.96146E-07,1.00000E-01
25,8.52858E+03,nonstructural,Wood,2.92959E-05,4.00000E-02
50,6.64403E+04,nonstructural,Wood,2.28224E-04,2.00000E-02
100,3.13141E+05,nonstructural,Wood,1.07565E-03,1.00000E-02
250,1.30618E+06,nonstructural,Wood,4.48677E-03,4.00000E-03
500,2.78724E+06,nonstructural,Wood,9.57424E-03,2.00000E-03
1000,5.09943E+06,nonstructural,Wood,1.75167E-02,1.00000E-03
2500,9.84860E+06,nonstructural,Wood,3.38302E-02,4.00000E-04
25,1.34309E-08,occupants,Wood,8.61851E-12,4.00000E-02
50,9.17766E-06,occupants,Wood,5.88923E-09,2.00000E-02
100,1.38070E-04,occupants,Wood,8.85984E-08,1.00000E-02
250,1.59042E-03,occupants,Wood,1.02056E-06,4.00000E-03
500,6.04285E-03,occupants,Wood,3.87765E-06,2.00000E-03
1000,1.68097E-02,occupants,Wood,1.07866E-05,1.00000E-03
2500,4.68149E-02,occupants,Wood,3.00408E-05,4.00000E-04
5,5.50799E+03,structural,Wood,6.31239E-05,2.00000E-01
10,7.74956E+04,structural,Wood,8.88134E-04,1.00000E-01
25,5.47365E+05,structural,Wood,6.27304E-03,4.00000E-02
50,1.08290E+06,structural,Wood,1.24105E-02,2.00000E-02
100,1.59054E+06,structural,Wood,1.82283E-02,1.00000E-02
250,2.54949E+06,structural,Wood,2.92182E-02,4.00000E-03
500,4.13174E+06,structural,Wood,4.73515E-02,2.00000E-03
1000,6.79467E+06,structural,Wood,7.78699E-02,1.00000E-03
2500,1.19265E+07,structural,Wood,1.36683E-01,4.00000E-04
5,9.12327E+02,contents,URMasonry,1.82223E-05,2.00000E-01
10,2.05491E+04,contents,URMasonry,4.10437E-04,1.00000E-01
25,2.14340E+05,contents,URMasonry,4.28111E-03,4.00000E-02
50,5.71347E+05,contents,URMasonry,1.14118E-02,2.00000E-02
100,1.10598E+06,contents,URMasonry,2.20903E-02,1.00000E-02
250,2.07162E+06,contents,URMasonry,4.13775E-02,4.00000E-03
