#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-10T12:51:30', checksum=2945867503, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
25,6.49462E+00,contents,Wood,1.27085E-07,4.00000E-02
50,3.15040E+02,contents,Wood,6.16461E-06,2.00000E-02
100,3.67130E+03,contents,Wood,7.18389E-05,1.00000E-02
250,4.24883E+04,contents,Wood,8.31397E-04,4.00000E-03
500,1.80473E+05,contents,Wood,3.53143E-03,2.00000E-03
1000,5.94099E+05,contents,Wood,1.16251E-02,1.00000E-03
2500,2.10813E+06,contents,Wood,4.12512E-02,4.00000E-04
25,1.43725E+02,nonstructural,Wood,4.84244E-07,4.00000E-02
50,5.85881E+03,nonstructural,Wood,1.97398E-05,2.00000E-02
100,4.50818E+04,nonstructural,Wood,1.51892E-04,1.00000E-02
250,3.29131E+05,nonstructural,Wood,1.10893E-03,4.00000E-03
500,1.10735E+06,nonstructural,Wood,3.73093E-03,2.00000E-03
1000,3.14262E+06,nonstructural,Wood,1.05883E-02,1.00000E-03
2500,1.00079E+07,nonstructural,Wood,3.37190E-02,4.00000E-04
100,8.62788E-06,occupants,Wood,4.51121E-09,1.00000E-02
250,4.85618E-04,occupants,Wood,2.53913E-07,4.00000E-03
500,3.74975E-03,occupants,Wood,1.96062E-06,2.00000E-03
1000,1.80099E-02,occupants,Wood,9.41675E-06,1.00000E-03
2500,8.54762E-02,occupants,Wood,4.46925E-05,4.00000E-04
25,8.96445E+03,structural,Wood,1.09983E-04,4.00000E-02
50,9.24732E+04,structural,Wood,1.13454E-03,2.00000E-02
100,3.51515E+05,structural,Wood,4.31267E-03,1.00000E-02
250,1.11087E+06,structural,Wood,1.36291E-02,4.00000E-03
500,2.09286E+06,structural,Wood,2.56769E-02,2.00000E-03
1000,3.93970E+06,structural,Wood,4.83354E-02,1.00000E-03
2500,9.11122E+06,structural,Wood,1.11784E-01,4.00000E-04
25,4.17610E-01,contents,RMasonry,3.16600E-08,4.00000E-02
50,2.56439E+01,contents,RMasonry,1.94413E-06,2.00000E-02
100,3.90505E+02,contents,RMasonry,2.96051E-05,1.00000E-02
250,6.45641E+03,contents,RMasonry,4.89475E-04,4.00000E-03
500,3.34850E+04,contents,RMasonry,2.53857E-03,2.00000E-03
1000,1.23973E+05,contents,RMasonry,9.39869E-03,1.00000E-03
2500,4.71751E+05,contents,RMasonry,3.57645E-02,4.00000E-04
25,3.84074E+00,nonstructural,RMasonry,1.37230E-07,4.00000E-02
50,1.91337E+02,nonstructural,RMasonry,6.83646E-06,2.00000E-02
100,1.76859E+03,nonstructural,RMasonry,6.31915E-05,1.00000E-02
250,1.60444E+04,nonstructural,RMasonry,5.73265E-04,4.00000E-03
500,6.16392E+04,nonstructural,RMasonry,2.20237E-03,2.00000E-03
1000,1.92457E+05,nonstructural,RMasonry,6.87648E-03,1.00000E-03
2500,6.61950E+05,nonstructural,RMasonry,2.36515E-02,4.00000E-04
100,3.75831E-06,occupants,RMasonry,8.15640E-09,1.00000E-02
250,3.13649E-04,occupants,RMasonry,6.80691E-07,4.00000E-03
500,3.09489E-03,occupants,RMasonry,6.71664E-06,2.00000E-03
1000,1.73950E-02,occupants,RMasonry,3.77513E-05,1.00000E-03
2500,9.41174E-02,occupants,RMasonry,2.04257E-04,4.00000E-04
25,1.37431E-01,structural,RMasonry,9.40627E-09,4.00000E-02
50,1.77885E+01,structural,RMasonry,1.21751E-06,2.00000E-02
100,3.14423E+02,structural,RMasonry,2.15203E-05,1.00000E-02
250,4.99256E+03,structural,RMasonry,3.41709E-04,4.00000E-03
500,2.45805E+04,structural,RMasonry,1.68238E-03,2.00000E-03
1000,8.93740E+04,structural,RMasonry,6.11708E-03,1.00000E-03
2500,3.47232E+05,structural,RMasonry,2.37658E-02,4.00000E-04
25,1.52090E+00,contents,Steel,2.76952E-08,4.00000E-02
50,6.70289E+01,contents,Steel,1.22058E-06,2.00000E-02
100,8.84681E+02,contents,Steel,1.61098E-05,1.00000E-02
250,1.20038E+04,contents,Steel,2.18586E-04,4.00000E-03
500,5.61095E+04,contents,Steel,1.02174E-03,2.00000E-03
1000,1.99005E+05,contents,Steel,3.62383E-03,1.00000E-03
2500,7.61337E+05,contents,Steel,1.38638E-02,4.00000E-04
25,4.82773E+01,nonstructural,Steel,4.48675E-07,4.00000E-02
50,1.27239E+03,nonstructural,Steel,1.18252E-05,2.00000E-02
100,9.62071E+03,nonstructural,Steel,8.94121E-05,1.00000E-02
250,6.91943E+04,nonstructural,Steel,6.43071E-04,4.00000E-03
500,2.20812E+05,nonstructural,Steel,2.05216E-03,2.00000E-03
1000,6.02428E+05,nonstructural,Steel,5.59879E-03,1.00000E-03
2500,1.91022E+06,nonstructural,Steel,1.77530E-02,4.00000E-04
50,6.47024E-06,occupants,Steel,4.27101E-09,2.00000E-02
100,1.81512E-04,occupants,Steel,1.19817E-07,1.00000E-02
250,3.45707E-03,occupants,Steel,2.28201E-06,4.00000E-03
500,1.75676E-02,occupants,Steel,1.15964E-05,2.00000E-03
1000,6.44395E-02,occupants,Steel,4.25366E-05,1.00000E-03
2500,2.49899E-01,occupants,Steel,1.64959E-04,4.00000E-04
25,7.73081E+00,structural,Steel,1.25183E-07,4.00000E-02
50,4.13736E+02,structural,Steel,6.69952E-06,2.00000E-02
100,4.65391E+03,structural,Steel,7.53597E-05,1.00000E-02
250,4.87426E+04,structural,Steel,7.89276E-04,4.00000E-03
500,1.94925E+05,structural,Steel,3.15637E-03,2.00000E-03
1000,6.19472E+05,structural,Steel,1.00310E-02,1.00000E-03
2500,2.25025E+06,structural,Steel,3.64377E-02,4.00000E-04
25,2.12264E+03,contents,URMasonry,2.98560E-05,4.00000E-02
50,3.20195E+04,contents,URMasonry,4.50371E-04,2.00000E-02
100,1.56426E+05,contents,URMasonry,2.20021E-03,1.00000E-02
250,6.39560E+05,contents,URMasonry,8.99575E-03,4.00000E-03
500,1.31461E+06,contents,URMasonry,1.84907E-02,2.00000E-03
1000,2.32685E+06,contents,URMasonry,3.27283E-02,1.00000E-03
2500,4.31649E+06,contents,URMasonry,6.07137E-02,4.00000E-04
25,2.25889E+03,nonstructural,URMasonry,1.48099E-05,4.00000E-02
50,3.69232E+04,nonstructural,URMasonry,2.42078E-04,2.00000E-02
100,2.12738E+05,nonstructural,URMasonry,1.39476E-03,1.00000E-02
250,1.16207E+06,nonstructural,URMasonry,7.61880E-03,4.00000E-03
500,3.15300E+06,nonstructural,URMasonry,2.06719E-02,2.00000E-03
1000,7.31123E+06,nonstructural,URMasonry,4.79342E-02,1.00000E-03
2500,1.80290E+07,nonstructural,URMasonry,1.18203E-01,4.00000E-04
100,6.92964E-05,occupants,URMasonry,2.38485E-08,1.00000E-02
250,5.70912E-03,occupants,URMasonry,1.96481E-06,4.00000E-03
500,5.43144E-02,occupants,URMasonry,1.86924E-05,2.00000E-03
1000,2.88028E-01,occupants,URMasonry,9.91253E-05,1.00000E-03
2500,1.49594E+00,occupants,URMasonry,5.14831E-04,4.00000E-04
25,5.61871E+01,structural,URMasonry,7.01120E-07,4.00000E-02
50,2.65075E+03,structural,URMasonry,3.30769E-05,2.00000E-02
100,2.97911E+04,structural,URMasonry,3.71743E-04,1.00000E-02
250,2.96976E+05,structural,URMasonry,3.70576E-03,4.00000E-03
500,1.10477E+06,structural,URMasonry,1.37857E-02,2.00000E-03
1000,3.14102E+06,structural,URMasonry,3.91946E-02,1.00000E-03
2500,9.04357E+06,structural,URMasonry,1.12848E-01,4.00000E-04
25,5.67946E+00,contents,Concrete,4.30487E-08,4.00000E-02
50,2.00533E+02,contents,Concrete,1.51998E-06,2.00000E-02
100,2.74820E+03,contents,Concrete,2.08305E-05,1.00000E-02
250,3.81268E+04,contents,Concrete,2.88990E-04,4.00000E-03
500,1.76307E+05,contents,Concrete,1.33635E-03,2.00000E-03
1000,6.12413E+05,contents,Concrete,4.64191E-03,1.00000E-03
2500,2.27311E+06,contents,Concrete,1.72295E-02,4.00000E-04
25,1.38874E+02,nonstructural,Concrete,4.29181E-07,4.00000E-02
50,3.06129E+03,nonstructural,Concrete,9.46075E-06,2.00000E-02
100,2.36231E+04,nonstructural,Concrete,7.30057E-05,1.00000E-02
250,1.65636E+05,nonstructural,Concrete,5.11888E-04,4.00000E-03
500,5.41935E+05,nonstructural,Concrete,1.67482E-03,2.00000E-03
1000,1.52986E+06,nonstructural,Concrete,4.72793E-03,1.00000E-03
2500,5.03233E+06,nonstructural,Concrete,1.55521E-02,4.00000E-04
50,4.80257E-06,occupants,Concrete,1.63216E-09,2.00000E-02
100,2.36678E-04,occupants,Concrete,8.04353E-08,1.00000E-02
250,7.21645E-03,occupants,Concrete,2.45252E-06,4.00000E-03
500,4.55270E-02,occupants,Concrete,1.54724E-05,2.00000E-03
1000,1.88447E-01,occupants,Concrete,6.40439E-05,1.00000E-03
2500,7.85813E-01,occupants,Concrete,2.67060E-04,4.00000E-04
25,2.86624E+01,structural,Concrete,1.85845E-07,4.00000E-02
50,1.11622E+03,structural,Concrete,7.23751E-06,2.00000E-02
100,1.28999E+04,structural,Concrete,8.36419E-05,1.00000E-02
250,1.29309E+05,structural,Concrete,8.38426E-04,4.00000E-03
500,4.92749E+05,structural,Concrete,3.19494E-03,2.00000E-03
1000,1.51086E+06,structural,Concrete,9.79626E-03,1.00000E-03
2500,5.21008E+06,structural,Concrete,3.37817E-02,4.00000E-04
50,5.13586E+00,contents,Precast,8.45424E-07,2.00000E-02
100,1.00392E+02,contents,Precast,1.65258E-05,1.00000E-02
250,1.94204E+03,contents,Precast,3.19684E-04,4.00000E-03
500,1.10023E+04,contents,Precast,1.81112E-03,2.00000E-03
1000,4.37191E+04,contents,Precast,7.19668E-03,1.00000E-03
2500,1.79645E+05,contents,Precast,2.95716E-02,4.00000E-04
25,5.18986E-01,nonstructural,Precast,4.71250E-08,4.00000E-02
50,1.16571E+02,nonstructural,Precast,1.05849E-05,2.00000E-02
100,1.08829E+03,nonstructural,Precast,9.88187E-05,1.00000E-02
