id,lon,lat,taxonomy,number,structural,nonstructural,contents,retrofitting,day,night,transit,LandUse,GenOcc,OccClass,GenType,BldgType,BldEpoch,SSC_Zone,EqDesLev,SauidID,sauid,dauid,adauid,fsauid,csduid,csdname,cduid,cdname,SAC,eruid,ername,pruid,prname
1928250-RES3D-W4-PC,-73.56786643,45.49171009,RES3D-W4-PC,1,470022,2141211.33,188008.8,229227.59,5.12,21.87,14.33,RES-HD,Residential-HD,RES3D,Wood,W4,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928251-RES3C-W4-PC,-73.56786643,45.49171009,RES3C-W4-PC,1,228244.5,1039780.5,91297.8,138822.39,3.19,13.62,8.92,RES-HD,Residential-MD,RES3C,Wood,W4,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928252-RES3B-W2-PC,-73.56786643,45.49171009,RES3B-W2-PC,1,189031.5,861143.5,75612.6,427077.19,1.42,6.05,3.97,RES-HD,Residential-MD,RES3B,Wood,W2,Pre-1973,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928253-COM7-S4M-PC,-73.56786643,45.49171009,COM7-S4M-PC,1,4713140,7689860,4241826,498458.89,75.85,0.43,34.54,RES-HD,Commercial,COM7,Steel,S4M,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928254-COM4-URMM-PC,-73.56786643,45.49171009,COM4-URMM-PC,1,3041520,4962480,2737368,578821.66,131.14,0.74,59.73,RES-HD,Commercial,COM4,URMasonry,URMM,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928255-RES3B-W2-PC,-73.56786643,45.49171009,RES3B-W2-PC,2,378063,1722287,151225.2,224147.76,2.84,12.11,7.93,RES-HD,Residential-MD,RES3B,Wood,W2,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928256-RES3F-W2-PC,-73.56786643,45.49171009,RES3F-W2-PC,1,4036435.2,18388204.8,1614574.08,1514807.04,33.15,141.49,92.7,RES-HD,Residential-HD,RES3F,Wood,W2,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928257-RES3E-C2M-PC,-73.56786643,45.49171009,RES3E-C2M-PC,1,1101402,5017498,440560.8,451787.9,9.64,41.16,26.97,RES-HD,Residential-HD,RES3E,Concrete,C2M,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928258-RES3C-C2M-PC,-73.56786643,45.49171009,RES3C-C2M-PC,1,228244.5,1039780.5,91297.8,138822.39,3.19,13.62,8.92,RES-HD,Residential-MD,RES3C,Concrete,C2M,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
1928259-RES3C-S2L-PC,-73.56786643,45.49171009,RES3C-S2L-PC,1,228244.5,1039780.5,91297.8,138822.39,3.19,13.62,8.92,RES-HD,Residential-MD,RES3C,Steel,S2L,1973-1989,SSC-2,PC,24038572,24038572,24661108,24660143,H3C,2466023,Montréal,2466,Montréal,1,2440,Montréal,24,Quebec / Québec
