#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-15T10:16:01', checksum=1457544887, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
50,2.83428E+02,contents,Wood,5.05127E-06,2.00000E-02
100,4.86711E+03,contents,Wood,8.67421E-05,1.00000E-02
250,8.26122E+04,contents,Wood,1.47232E-03,4.00000E-03
500,3.07939E+05,contents,Wood,5.48812E-03,2.00000E-03
1000,7.19551E+05,contents,Wood,1.28239E-02,1.00000E-03
2500,1.60086E+06,contents,Wood,2.85307E-02,4.00000E-04
50,3.65233E+03,nonstructural,Wood,1.25458E-05,2.00000E-02
100,5.35206E+04,nonstructural,Wood,1.83844E-04,1.00000E-02
250,5.55072E+05,nonstructural,Wood,1.90669E-03,4.00000E-03
500,1.46984E+06,nonstructural,Wood,5.04894E-03,2.00000E-03
1000,2.77024E+06,nonstructural,Wood,9.51585E-03,1.00000E-03
2500,5.43036E+06,nonstructural,Wood,1.86534E-02,4.00000E-04
250,1.16480E-04,occupants,Wood,7.47443E-08,4.00000E-03
500,9.08069E-04,occupants,Wood,5.82701E-07,2.00000E-03
1000,4.12188E-03,occupants,Wood,2.64498E-06,1.00000E-03
2500,1.62825E-02,occupants,Wood,1.04484E-05,4.00000E-04
25,9.87103E+04,structural,Wood,1.13126E-03,4.00000E-02
50,5.69032E+05,structural,Wood,6.52136E-03,2.00000E-02
100,1.13633E+06,structural,Wood,1.30229E-02,1.00000E-02
250,1.72343E+06,structural,Wood,1.97513E-02,4.00000E-03
500,2.34883E+06,structural,Wood,2.69187E-02,2.00000E-03
1000,3.76196E+06,structural,Wood,4.31137E-02,1.00000E-03
2500,6.97064E+06,structural,Wood,7.98866E-02,4.00000E-04
25,1.43903E+04,contents,URMasonry,2.87424E-04,4.00000E-02
50,1.97723E+05,contents,URMasonry,3.94922E-03,2.00000E-02
100,5.54950E+05,contents,URMasonry,1.10843E-02,1.00000E-02
250,1.29411E+06,contents,URMasonry,2.58479E-02,4.00000E-03
500,2.02775E+06,contents,URMasonry,4.05011E-02,2.00000E-03
1000,2.90141E+06,contents,URMasonry,5.79512E-02,1.00000E-03
2500,4.13486E+06,contents,URMasonry,8.25876E-02,4.00000E-04
25,1.37464E+04,nonstructural,URMasonry,1.23636E-04,4.00000E-02
