#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-08T04:42:01', checksum=87449228, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
500,1.20961E+03,contents,Wood,2.36692E-05,2.00000E-03
1000,6.31629E+03,contents,Wood,1.23595E-04,1.00000E-03
2500,4.99047E+04,contents,Wood,9.76518E-04,4.00000E-04
500,2.72450E+04,nonstructural,Wood,9.17951E-05,2.00000E-03
1000,1.26130E+05,nonstructural,Wood,4.24962E-04,1.00000E-03
2500,4.78296E+05,nonstructural,Wood,1.61150E-03,4.00000E-04
2500,2.90249E-04,occupants,Wood,1.51761E-07,4.00000E-04
250,1.60715E+05,structural,Wood,1.97179E-03,4.00000E-03
500,6.31945E+05,structural,Wood,7.75321E-03,2.00000E-03
1000,1.17183E+06,structural,Wood,1.43770E-02,1.00000E-03
2500,1.73875E+06,structural,Wood,2.13324E-02,4.00000E-04
250,6.58524E-01,contents,RMasonry,4.99242E-08,4.00000E-03
500,1.43788E+02,contents,RMasonry,1.09009E-05,2.00000E-03
1000,1.21056E+03,contents,RMasonry,9.17754E-05,1.00000E-03
2500,9.07285E+03,contents,RMasonry,6.87834E-04,4.00000E-04
250,4.92424E+00,nonstructural,RMasonry,1.75943E-07,4.00000E-03
500,1.69465E+03,nonstructural,RMasonry,6.05500E-05,2.00000E-03
1000,6.60396E+03,nonstructural,RMasonry,2.35959E-04,1.00000E-03
2500,2.94504E+04,nonstructural,RMasonry,1.05226E-03,4.00000E-04
2500,1.09950E-04,occupants,RMasonry,2.38616E-07,4.00000E-04
500,1.10105E+02,structural,RMasonry,7.53595E-06,2.00000E-03
1000,8.82353E+02,structural,RMasonry,6.03914E-05,1.00000E-03
2500,6.98050E+03,structural,RMasonry,4.77770E-04,4.00000E-04
250,6.59505E+00,contents,Steel,1.20094E-07,4.00000E-03
500,3.07442E+02,contents,Steel,5.59844E-06,2.00000E-03
1000,2.17314E+03,contents,Steel,3.95723E-05,1.00000E-03
2500,1.33639E+04,contents,Steel,2.43354E-04,4.00000E-04
250,2.22223E+02,nonstructural,Steel,2.06527E-06,4.00000E-03
500,6.71575E+03,nonstructural,Steel,6.24142E-05,2.00000E-03
1000,2.78232E+04,nonstructural,Steel,2.58581E-04,1.00000E-03
2500,9.69856E+04,nonstructural,Steel,9.01356E-04,4.00000E-04
500,5.55000E-06,occupants,Steel,3.66356E-09,2.00000E-03
1000,2.19674E-04,occupants,Steel,1.45007E-07,1.00000E-03
2500,3.03660E-03,occupants,Steel,2.00446E-06,4.00000E-04
250,1.86342E+01,structural,Steel,3.01739E-07,4.00000E-03
500,1.67935E+03,structural,Steel,2.71933E-05,2.00000E-03
1000,1.02457E+04,structural,Steel,1.65906E-04,1.00000E-03
2500,5.28026E+04,structural,Steel,8.55019E-04,4.00000E-04
250,3.62773E+04,contents,URMasonry,5.10259E-04,4.00000E-03
500,2.80985E+05,contents,URMasonry,3.95221E-03,2.00000E-03
1000,5.85386E+05,contents,URMasonry,8.23375E-03,1.00000E-03
2500,1.21948E+06,contents,URMasonry,1.71527E-02,4.00000E-04
250,3.99945E+04,nonstructural,URMasonry,2.62214E-04,4.00000E-03
500,2.99439E+05,nonstructural,URMasonry,1.96320E-03,2.00000E-03
1000,7.47985E+05,nonstructural,URMasonry,4.90398E-03,1.00000E-03
2500,2.29536E+06,nonstructural,URMasonry,1.50490E-02,4.00000E-04
2500,1.16214E-03,occupants,URMasonry,3.99953E-07,4.00000E-04
250,4.56755E+02,structural,URMasonry,5.69953E-06,4.00000E-03
500,1.82611E+04,structural,URMasonry,2.27867E-04,2.00000E-03
1000,8.95058E+04,structural,URMasonry,1.11688E-03,1.00000E-03
2500,5.68777E+05,structural,URMasonry,7.09738E-03,4.00000E-04
250,5.74722E+01,contents,Concrete,4.35623E-07,4.00000E-03
500,9.48150E+02,contents,Concrete,7.18670E-06,2.00000E-03
1000,6.09872E+03,contents,Concrete,4.62266E-05,1.00000E-03
2500,4.12701E+04,contents,Concrete,3.12815E-04,4.00000E-04
250,1.15614E+03,nonstructural,Concrete,3.57298E-06,4.00000E-03
500,1.64199E+04,nonstructural,Concrete,5.07448E-05,2.00000E-03
1000,5.96606E+04,nonstructural,Concrete,1.84377E-04,1.00000E-03
2500,2.46691E+05,nonstructural,Concrete,7.62384E-04,4.00000E-04
1000,2.45285E-04,occupants,Concrete,8.33604E-08,1.00000E-03
2500,4.93728E-03,occupants,Concrete,1.67794E-06,4.00000E-04
250,2.38123E+02,structural,Concrete,1.54397E-06,4.00000E-03
500,4.33358E+03,structural,Concrete,2.80986E-05,2.00000E-03
1000,2.35685E+04,structural,Concrete,1.52816E-04,1.00000E-03
2500,1.63492E+05,structural,Concrete,1.06007E-03,4.00000E-04
500,3.71701E+01,contents,Precast,6.11865E-06,2.00000E-03
1000,2.50494E+02,contents,Precast,4.12342E-05,1.00000E-03
2500,2.41359E+03,contents,Precast,3.97306E-04,4.00000E-04
500,6.45726E+02,nonstructural,Precast,5.86333E-05,2.00000E-03
1000,3.51890E+03,nonstructural,Precast,3.19523E-04,1.00000E-03
2500,1.61679E+04,nonstructural,Precast,1.46808E-03,4.00000E-04
2500,5.33621E-05,occupants,Precast,2.51851E-07,4.00000E-04
500,6.96995E+01,structural,Precast,1.03260E-05,2.00000E-03
1000,8.99417E+02,structural,Precast,1.33249E-04,1.00000E-03
2500,9.61047E+03,structural,Precast,1.42380E-03,4.00000E-04
250,3.74256E+04,contents,*total*,1.13994E-04,4.00000E-03
500,2.89192E+05,contents,*total*,8.80845E-04,2.00000E-03
1000,6.09962E+05,contents,*total*,1.85787E-03,1.00000E-03
2500,1.33825E+06,contents,*total*,4.07614E-03,4.00000E-04
250,5.25180E+04,nonstructural,*total*,5.71154E-05,4.00000E-03
500,3.67290E+05,nonstructural,*total*,3.99442E-04,2.00000E-03
1000,1.00752E+06,nonstructural,*total*,1.09572E-03,1.00000E-03
2500,3.13754E+06,nonstructural,*total*,3.41219E-03,4.00000E-04
500,4.14300E-05,occupants,*total*,4.16454E-09,2.00000E-03
1000,5.99359E-04,occupants,*total*,6.02475E-08,1.00000E-03
2500,1.16545E-02,occupants,*total*,1.17151E-06,4.00000E-04
250,1.65305E+05,structural,*total*,4.14309E-04,4.00000E-03
500,6.57752E+05,structural,*total*,1.64854E-03,2.00000E-03
1000,1.30334E+06,structural,*total*,3.26659E-03,1.00000E-03
2500,2.47947E+06,structural,*total*,6.21436E-03,4.00000E-04
