#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-24T04:57:46', checksum=1530093249, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
5,3.71706E+00,contents,Wood,6.62458E-08,2.00000E-01
10,1.06500E+02,contents,Wood,1.89804E-06,1.00000E-01
25,3.03983E+03,contents,Wood,5.41761E-05,4.00000E-02
50,2.12429E+04,contents,Wood,3.78593E-04,2.00000E-02
100,9.98910E+04,contents,Wood,1.78027E-03,1.00000E-02
250,4.52435E+05,contents,Wood,8.06334E-03,4.00000E-03
500,1.02836E+06,contents,Wood,1.83275E-02,2.00000E-03
1000,1.93636E+06,contents,Wood,3.45100E-02,1.00000E-03
2500,3.71258E+06,contents,Wood,6.61660E-02,4.00000E-04
5,6.21231E+01,nonstructural,Wood,2.13394E-07,2.00000E-01
10,1.44301E+03,nonstructural,Wood,4.95677E-06,1.00000E-01
25,2.91836E+04,nonstructural,Wood,1.00247E-04,4.00000E-02
50,1.55579E+05,nonstructural,Wood,5.34417E-04,2.00000E-02
100,5.59869E+05,nonstructural,Wood,1.92316E-03,1.00000E-02
250,1.88442E+06,nonstructural,Wood,6.47303E-03,4.00000E-03
500,3.70371E+06,nonstructural,Wood,1.27223E-02,2.00000E-03
1000,6.48960E+06,nonstructural,Wood,2.22920E-02,1.00000E-03
2500,1.21313E+07,nonstructural,Wood,4.16714E-02,4.00000E-04
25,3.65844E-06,occupants,Wood,2.34759E-09,4.00000E-02
50,5.68064E-05,occupants,Wood,3.64522E-08,2.00000E-02
100,4.35480E-04,occupants,Wood,2.79444E-07,1.00000E-02
250,3.27085E-03,occupants,Wood,2.09888E-06,4.00000E-03
500,1.02103E-02,occupants,Wood,6.55186E-06,2.00000E-03
1000,2.50156E-02,occupants,Wood,1.60523E-05,1.00000E-03
2500,6.30064E-02,occupants,Wood,4.04307E-05,4.00000E-04
5,2.73836E+04,structural,Wood,3.13827E-04,2.00000E-01
10,1.82616E+05,structural,Wood,2.09286E-03,1.00000E-01
25,7.44832E+05,structural,Wood,8.53611E-03,4.00000E-02
50,1.27728E+06,structural,Wood,1.46382E-02,2.00000E-02
100,1.83600E+06,structural,Wood,2.10413E-02,1.00000E-02
250,3.15271E+06,structural,Wood,3.61314E-02,4.00000E-03
500,5.17156E+06,structural,Wood,5.92684E-02,2.00000E-03
1000,8.25769E+06,structural,Wood,9.46367E-02,1.00000E-03
2500,1.39002E+07,structural,Wood,1.59302E-01,4.00000E-04
5,7.09561E+03,contents,URMasonry,1.41724E-04,2.00000E-01
10,5.90181E+04,contents,URMasonry,1.17880E-03,1.00000E-01
25,3.43710E+05,contents,URMasonry,6.86508E-03,4.00000E-02
50,7.68310E+05,contents,URMasonry,1.53458E-02,2.00000E-02
100,1.37114E+06,contents,URMasonry,2.73864E-02,1.00000E-02
250,2.41009E+06,contents,URMasonry,4.81378E-02,4.00000E-03
