#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-09T13:29:36', checksum=1457544887, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
25,3.74136E+00,contents,Wood,7.32096E-08,4.00000E-02
50,2.73550E+02,contents,Wood,5.35274E-06,2.00000E-02
100,3.42989E+03,contents,Wood,6.71150E-05,1.00000E-02
250,4.12485E+04,contents,Wood,8.07137E-04,4.00000E-03
500,1.77328E+05,contents,Wood,3.46990E-03,2.00000E-03
1000,5.93607E+05,contents,Wood,1.16155E-02,1.00000E-03
2500,2.12427E+06,contents,Wood,4.15670E-02,4.00000E-04
25,8.22300E+01,nonstructural,Wood,2.77053E-07,4.00000E-02
50,5.18859E+03,nonstructural,Wood,1.74817E-05,2.00000E-02
100,4.39626E+04,nonstructural,Wood,1.48121E-04,1.00000E-02
250,3.26592E+05,nonstructural,Wood,1.10037E-03,4.00000E-03
500,1.10205E+06,nonstructural,Wood,3.71308E-03,2.00000E-03
1000,3.15051E+06,nonstructural,Wood,1.06149E-02,1.00000E-03
2500,1.00898E+07,nonstructural,Wood,3.39952E-02,4.00000E-04
100,8.08396E-06,occupants,Wood,4.22682E-09,1.00000E-02
250,4.83154E-04,occupants,Wood,2.52624E-07,4.00000E-03
500,3.73580E-03,occupants,Wood,1.95332E-06,2.00000E-03
1000,1.78735E-02,occupants,Wood,9.34544E-06,1.00000E-03
2500,8.60714E-02,occupants,Wood,4.50037E-05,4.00000E-04
25,6.28211E+03,structural,Wood,7.70740E-05,4.00000E-02
50,9.49600E+04,structural,Wood,1.16505E-03,2.00000E-02
100,3.59722E+05,structural,Wood,4.41336E-03,1.00000E-02
250,1.12563E+06,structural,Wood,1.38102E-02,4.00000E-03
500,2.11122E+06,structural,Wood,2.59022E-02,2.00000E-03
1000,3.96980E+06,structural,Wood,4.87047E-02,1.00000E-03
2500,9.25428E+06,structural,Wood,1.13539E-01,4.00000E-04
25,2.33004E-01,contents,RMasonry,1.76646E-08,4.00000E-02
50,2.28510E+01,contents,RMasonry,1.73239E-06,2.00000E-02
100,3.66920E+02,contents,RMasonry,2.78170E-05,1.00000E-02
250,6.27471E+03,contents,RMasonry,4.75700E-04,4.00000E-03
500,3.31472E+04,contents,RMasonry,2.51296E-03,2.00000E-03
1000,1.24536E+05,contents,RMasonry,9.44133E-03,1.00000E-03
2500,4.77375E+05,contents,RMasonry,3.61909E-02,4.00000E-04
25,2.44061E+00,nonstructural,RMasonry,8.72029E-08,4.00000E-02
50,1.72882E+02,nonstructural,RMasonry,6.17707E-06,2.00000E-02
100,1.72247E+03,nonstructural,RMasonry,6.15438E-05,1.00000E-02
250,1.59198E+04,nonstructural,RMasonry,5.68816E-04,4.00000E-03
500,6.15857E+04,nonstructural,RMasonry,2.20046E-03,2.00000E-03
1000,1.93698E+05,nonstructural,RMasonry,6.92084E-03,1.00000E-03
2500,6.69015E+05,nonstructural,RMasonry,2.39039E-02,4.00000E-04
100,3.41523E-06,occupants,RMasonry,7.41185E-09,1.00000E-02
250,3.05461E-04,occupants,RMasonry,6.62921E-07,4.00000E-03
500,3.00426E-03,occupants,RMasonry,6.51994E-06,2.00000E-03
1000,1.71720E-02,occupants,RMasonry,3.72671E-05,1.00000E-03
2500,9.43381E-02,occupants,RMasonry,2.04736E-04,4.00000E-04
25,8.12776E-02,structural,RMasonry,5.56293E-09,4.00000E-02
50,1.49787E+01,structural,RMasonry,1.02520E-06,2.00000E-02
100,2.93140E+02,structural,RMasonry,2.00635E-05,1.00000E-02
250,4.86914E+03,structural,RMasonry,3.33261E-04,4.00000E-03
500,2.43788E+04,structural,RMasonry,1.66857E-03,2.00000E-03
1000,8.96186E+04,structural,RMasonry,6.13382E-03,1.00000E-03
2500,3.50137E+05,structural,RMasonry,2.39646E-02,4.00000E-04
25,9.61070E-01,contents,Steel,1.75009E-08,4.00000E-02
50,5.81828E+01,contents,Steel,1.05950E-06,2.00000E-02
100,8.30182E+02,contents,Steel,1.51174E-05,1.00000E-02
250,1.17661E+04,contents,Steel,2.14259E-04,4.00000E-03
500,5.55576E+04,contents,Steel,1.01169E-03,2.00000E-03
1000,1.98606E+05,contents,Steel,3.61657E-03,1.00000E-03
2500,7.67002E+05,contents,Steel,1.39669E-02,4.00000E-04
25,3.11334E+01,nonstructural,Steel,2.89344E-07,4.00000E-02
50,1.15814E+03,nonstructural,Steel,1.07634E-05,2.00000E-02
100,9.32658E+03,nonstructural,Steel,8.66786E-05,1.00000E-02
250,6.89117E+04,nonstructural,Steel,6.40445E-04,4.00000E-03
500,2.21548E+05,nonstructural,Steel,2.05901E-03,2.00000E-03
1000,6.05379E+05,nonstructural,Steel,5.62622E-03,1.00000E-03
2500,1.92423E+06,nonstructural,Steel,1.78832E-02,4.00000E-04
50,4.99661E-06,occupants,Steel,3.29827E-09,2.00000E-02
100,1.67576E-04,occupants,Steel,1.10617E-07,1.00000E-02
250,3.38755E-03,occupants,Steel,2.23612E-06,4.00000E-03
500,1.73808E-02,occupants,Steel,1.14731E-05,2.00000E-03
1000,6.43517E-02,occupants,Steel,4.24786E-05,1.00000E-03
2500,2.52187E-01,occupants,Steel,1.66469E-04,4.00000E-04
25,4.73600E+00,structural,Steel,7.66888E-08,4.00000E-02
50,3.50453E+02,structural,Steel,5.67479E-06,2.00000E-02
100,4.37216E+03,structural,Steel,7.07973E-05,1.00000E-02
250,4.75875E+04,structural,Steel,7.70573E-04,4.00000E-03
500,1.93406E+05,structural,Steel,3.13177E-03,2.00000E-03
1000,6.19874E+05,structural,Steel,1.00375E-02,1.00000E-03
2500,2.25668E+06,structural,Steel,3.65418E-02,4.00000E-04
25,1.44915E+03,contents,URMasonry,2.03831E-05,4.00000E-02
50,3.17994E+04,contents,URMasonry,4.47275E-04,2.00000E-02
100,1.59124E+05,contents,URMasonry,2.23816E-03,1.00000E-02
250,6.49478E+05,contents,URMasonry,9.13525E-03,4.00000E-03
500,1.33389E+06,contents,URMasonry,1.87618E-02,2.00000E-03
1000,2.35949E+06,contents,URMasonry,3.31874E-02,1.00000E-03
2500,4.38788E+06,contents,URMasonry,6.17178E-02,4.00000E-04
25,1.54992E+03,nonstructural,URMasonry,1.01617E-05,4.00000E-02
50,3.62330E+04,nonstructural,URMasonry,2.37553E-04,2.00000E-02
