#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-08T04:31:01', checksum=2901892693, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
250,1.37906E+02,contents,Wood,2.69850E-06,4.00000E-03
500,2.58205E+03,contents,Wood,5.05248E-05,2.00000E-03
1000,1.42874E+04,contents,Wood,2.79570E-04,1.00000E-03
2500,8.58361E+04,contents,Wood,1.67961E-03,4.00000E-04
250,2.44917E+03,nonstructural,Wood,8.25187E-06,4.00000E-03
500,5.81299E+04,nonstructural,Wood,1.95854E-04,2.00000E-03
1000,2.15634E+05,nonstructural,Wood,7.26523E-04,1.00000E-03
2500,7.54489E+05,nonstructural,Wood,2.54206E-03,4.00000E-04
1000,1.11815E-05,occupants,Wood,5.84641E-09,1.00000E-03
2500,6.09974E-04,occupants,Wood,3.18934E-07,4.00000E-04
250,2.73728E+05,structural,Wood,3.35832E-03,4.00000E-03
500,7.99678E+05,structural,Wood,9.81109E-03,2.00000E-03
1000,1.32297E+06,structural,Wood,1.62313E-02,1.00000E-03
2500,1.93559E+06,structural,Wood,2.37474E-02,4.00000E-04
250,2.08987E+01,contents,RMasonry,1.58438E-06,4.00000E-03
500,3.56760E+02,contents,RMasonry,2.70468E-05,2.00000E-03
1000,2.24500E+03,contents,RMasonry,1.70199E-04,1.00000E-03
2500,1.74100E+04,contents,RMasonry,1.31989E-03,4.00000E-04
250,1.73602E+02,nonstructural,RMasonry,6.20278E-06,4.00000E-03
500,2.98356E+03,nonstructural,RMasonry,1.06603E-04,2.00000E-03
1000,1.09206E+04,nonstructural,RMasonry,3.90193E-04,1.00000E-03
2500,4.73778E+04,nonstructural,RMasonry,1.69281E-03,4.00000E-04
1000,5.55000E-06,occupants,RMasonry,1.20448E-08,1.00000E-03
2500,3.02184E-04,occupants,RMasonry,6.55811E-07,4.00000E-04
250,7.84864E+00,structural,RMasonry,5.37189E-07,4.00000E-03
500,2.82964E+02,structural,RMasonry,1.93670E-05,2.00000E-03
1000,2.04285E+03,structural,RMasonry,1.39820E-04,1.00000E-03
2500,1.37941E+04,structural,RMasonry,9.44116E-04,4.00000E-04
250,4.57612E+01,contents,Steel,8.33301E-07,4.00000E-03
500,7.22041E+02,contents,Steel,1.31482E-05,2.00000E-03
1000,4.05766E+03,contents,Steel,7.38890E-05,1.00000E-03
2500,2.54174E+04,contents,Steel,4.62845E-04,4.00000E-04
250,1.38561E+03,nonstructural,Steel,1.28774E-05,4.00000E-03
500,1.32926E+04,nonstructural,Steel,1.23538E-04,2.00000E-03
1000,4.34768E+04,nonstructural,Steel,4.04060E-04,1.00000E-03
2500,1.53459E+05,nonstructural,Steel,1.42621E-03,4.00000E-04
500,4.90136E-05,occupants,Steel,3.23539E-08,2.00000E-03
1000,4.93559E-04,occupants,Steel,3.25799E-07,1.00000E-03
2500,5.59226E-03,occupants,Steel,3.69145E-06,4.00000E-04
250,1.91916E+02,structural,Steel,3.10765E-06,4.00000E-03
500,4.11730E+03,structural,Steel,6.66705E-05,2.00000E-03
1000,2.08283E+04,structural,Steel,3.37267E-04,1.00000E-03
2500,1.00058E+05,structural,Steel,1.62021E-03,4.00000E-04
250,7.23604E+04,contents,URMasonry,1.01779E-03,4.00000E-03
500,3.74562E+05,contents,URMasonry,5.26841E-03,2.00000E-03
1000,7.71089E+05,contents,URMasonry,1.08458E-02,1.00000E-03
2500,1.54769E+06,contents,URMasonry,2.17691E-02,4.00000E-04
250,7.46294E+04,nonstructural,URMasonry,4.89289E-04,4.00000E-03
500,4.30998E+05,nonstructural,URMasonry,2.82573E-03,2.00000E-03
1000,1.09674E+06,nonstructural,URMasonry,7.19049E-03,1.00000E-03
2500,3.04661E+06,nonstructural,URMasonry,1.99743E-02,4.00000E-04
1000,7.03900E-05,occupants,URMasonry,2.42249E-08,1.00000E-03
2500,3.63046E-03,occupants,URMasonry,1.24943E-06,4.00000E-04
250,2.47910E+03,structural,URMasonry,3.09350E-05,4.00000E-03
500,3.71264E+04,structural,URMasonry,4.63275E-04,2.00000E-03
1000,1.72386E+05,structural,URMasonry,2.15108E-03,1.00000E-03
2500,8.81910E+05,structural,URMasonry,1.10047E-02,4.00000E-04
250,1.94385E+02,contents,Concrete,1.47338E-06,4.00000E-03
500,2.29615E+03,contents,Concrete,1.74042E-05,2.00000E-03
1000,1.31499E+04,contents,Concrete,9.96727E-05,1.00000E-03
2500,8.27183E+04,contents,Concrete,6.26981E-04,4.00000E-04
250,5.14484E+03,nonstructural,Concrete,1.58998E-05,4.00000E-03
500,2.93593E+04,nonstructural,Concrete,9.07333E-05,2.00000E-03
1000,1.02470E+05,nonstructural,Concrete,3.16677E-04,1.00000E-03
2500,3.82144E+05,nonstructural,Concrete,1.18099E-03,4.00000E-04
500,4.87371E-05,occupants,Concrete,1.65634E-08,2.00000E-03
1000,7.87009E-04,occupants,Concrete,2.67466E-07,1.00000E-03
2500,9.63543E-03,occupants,Concrete,3.27462E-06,4.00000E-04
250,9.54662E+02,structural,Concrete,6.18995E-06,4.00000E-03
500,9.79455E+03,structural,Concrete,6.35071E-05,2.00000E-03
1000,5.23771E+04,structural,Concrete,3.39609E-04,1.00000E-03
2500,2.82155E+05,structural,Concrete,1.82947E-03,4.00000E-04
500,6.96522E+01,contents,Precast,1.14656E-05,2.00000E-03
1000,4.71814E+02,contents,Precast,7.76663E-05,1.00000E-03
2500,5.28054E+03,contents,Precast,8.69239E-04,4.00000E-04
250,5.40076E+01,nonstructural,Precast,4.90400E-06,4.00000E-03
500,1.59988E+03,nonstructural,Precast,1.45272E-04,2.00000E-03
1000,6.14917E+03,nonstructural,Precast,5.58357E-04,1.00000E-03
2500,2.73892E+04,nonstructural,Precast,2.48700E-03,4.00000E-04
2500,1.43313E-04,occupants,Precast,6.76389E-07,4.00000E-04
250,1.74168E+00,structural,Precast,2.58031E-07,4.00000E-03
500,2.57777E+02,structural,Precast,3.81898E-05,2.00000E-03
1000,2.21676E+03,structural,Precast,3.28415E-04,1.00000E-03
2500,1.78784E+04,structural,Precast,2.64869E-03,4.00000E-04
250,7.35516E+04,contents,*total*,2.24029E-04,4.00000E-03
500,3.88175E+05,contents,*total*,1.18233E-03,2.00000E-03
1000,8.15308E+05,contents,*total*,2.48333E-03,1.00000E-03
2500,1.83580E+06,contents,*total*,5.59162E-03,4.00000E-04
250,1.06123E+05,nonstructural,*total*,1.15413E-04,4.00000E-03
500,5.58622E+05,nonstructural,*total*,6.07523E-04,2.00000E-03
1000,1.53753E+06,nonstructural,*total*,1.67212E-03,1.00000E-03
2500,4.77932E+06,nonstructural,*total*,5.19770E-03,4.00000E-04
500,1.36653E-04,occupants,*total*,1.37364E-08,2.00000E-03
1000,1.67463E-03,occupants,*total*,1.68333E-07,1.00000E-03
2500,2.19267E-02,occupants,*total*,2.20407E-06,4.00000E-04
250,2.86835E+05,structural,*total*,7.18902E-04,4.00000E-03
500,8.50833E+05,structural,*total*,2.13246E-03,2.00000E-03
1000,1.58510E+06,structural,*total*,3.97276E-03,1.00000E-03
2500,3.32553E+06,structural,*total*,8.33485E-03,4.00000E-04
