#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-12T04:23:57', checksum=2950389488, risk_investigation_time=1.0, kind='agg_curves-quantile-0.95'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
10,2.52856E+02,contents,Wood,4.50643E-06,1.00000E-01
25,7.29146E+03,contents,Wood,1.29949E-04,4.00000E-02
50,4.58622E+04,contents,Wood,8.17360E-04,2.00000E-02
100,2.04656E+05,contents,Wood,3.64740E-03,1.00000E-02
250,9.27685E+05,contents,Wood,1.65333E-02,4.00000E-03
500,1.88663E+06,contents,Wood,3.36237E-02,2.00000E-03
1000,3.31021E+06,contents,Wood,5.89948E-02,1.00000E-03
2500,5.98065E+06,contents,Wood,1.06588E-01,4.00000E-04
10,3.44573E+03,nonstructural,Wood,1.18362E-05,1.00000E-01
25,7.63892E+04,nonstructural,Wood,2.62399E-04,4.00000E-02
50,3.56740E+05,nonstructural,Wood,1.22541E-03,2.00000E-02
100,1.07980E+06,nonstructural,Wood,3.70912E-03,1.00000E-02
250,3.40850E+06,nonstructural,Wood,1.17083E-02,4.00000E-03
500,6.37014E+06,nonstructural,Wood,2.18816E-02,2.00000E-03
1000,1.08151E+07,nonstructural,Wood,3.71501E-02,1.00000E-03
2500,1.93890E+07,nonstructural,Wood,6.66018E-02,4.00000E-04
50,1.23189E-04,occupants,Wood,7.90495E-08,2.00000E-02
100,1.00338E-03,occupants,Wood,6.43859E-07,1.00000E-02
250,7.85847E-03,occupants,Wood,5.04272E-06,4.00000E-03
500,2.40017E-02,occupants,Wood,1.54017E-05,2.00000E-03
1000,5.43385E-02,occupants,Wood,3.48686E-05,1.00000E-03
2500,1.21074E-01,occupants,Wood,7.76923E-05,4.00000E-04
5,1.23977E+05,structural,Wood,1.42083E-03,2.00000E-01
10,6.55072E+05,structural,Wood,7.50741E-03,1.00000E-01
25,1.38420E+06,structural,Wood,1.58635E-02,4.00000E-02
50,1.78308E+06,structural,Wood,2.04348E-02,2.00000E-02
100,2.41217E+06,structural,Wood,2.76445E-02,1.00000E-02
250,4.93272E+06,structural,Wood,5.65311E-02,4.00000E-03
500,8.58140E+06,structural,Wood,9.83466E-02,2.00000E-03
1000,1.36877E+07,structural,Wood,1.56867E-01,1.00000E-03
2500,2.11976E+07,structural,Wood,2.42934E-01,4.00000E-04
5,2.47096E+04,contents,URMasonry,4.93537E-04,2.00000E-01
10,2.50612E+05,contents,URMasonry,5.00559E-03,1.00000E-01
25,7.92049E+05,contents,URMasonry,1.58200E-02,4.00000E-02
50,1.40340E+06,contents,URMasonry,2.80308E-02,2.00000E-02
100,2.09531E+06,contents,URMasonry,4.18506E-02,1.00000E-02
250,3.28661E+06,contents,URMasonry,6.56451E-02,4.00000E-03
500,4.41344E+06,contents,URMasonry,8.81517E-02,2.00000E-03
1000,5.64624E+06,contents,URMasonry,1.12775E-01,1.00000E-03
2500,7.31363E+06,contents,URMasonry,1.46079E-01,4.00000E-04
5,2.50957E+04,nonstructural,URMasonry,2.25712E-04,2.00000E-01
10,2.99293E+05,nonstructural,URMasonry,2.69186E-03,1.00000E-01
25,1.44674E+06,nonstructural,URMasonry,1.30121E-02,4.00000E-02
50,3.50897E+06,nonstructural,URMasonry,3.15599E-02,2.00000E-02
100,6.96367E+06,nonstructural,URMasonry,6.26316E-02,1.00000E-02
250,1.41101E+07,nonstructural,URMasonry,1.26907E-01,4.00000E-03
500,2.18412E+07,nonstructural,URMasonry,1.96441E-01,2.00000E-03
1000,3.09480E+07,nonstructural,URMasonry,2.78348E-01,1.00000E-03
2500,4.31450E+07,nonstructural,URMasonry,3.88048E-01,4.00000E-04
25,3.95819E-04,occupants,URMasonry,2.35660E-07,4.00000E-02
50,9.68482E-03,occupants,URMasonry,5.76608E-06,2.00000E-02
100,7.88546E-02,occupants,URMasonry,4.69479E-05,1.00000E-02
250,4.82201E-01,occupants,URMasonry,2.87089E-04,4.00000E-03
500,1.10858E+00,occupants,URMasonry,6.60021E-04,2.00000E-03
1000,2.04384E+00,occupants,URMasonry,1.21685E-03,1.00000E-03
2500,3.76320E+00,occupants,URMasonry,2.24051E-03,4.00000E-04
5,1.93855E+02,structural,URMasonry,3.46862E-06,2.00000E-01
10,2.43123E+04,structural,URMasonry,4.35018E-04,1.00000E-01
25,3.24731E+05,structural,URMasonry,5.81038E-03,4.00000E-02
50,1.16536E+06,structural,URMasonry,2.08516E-02,2.00000E-02
100,2.83369E+06,structural,URMasonry,5.07030E-02,1.00000E-02
250,6.80700E+06,structural,URMasonry,1.21797E-01,4.00000E-03
500,1.12906E+07,structural,URMasonry,2.02022E-01,2.00000E-03
1000,1.68315E+07,structural,URMasonry,3.01164E-01,1.00000E-03
2500,2.43353E+07,structural,URMasonry,4.35429E-01,4.00000E-04
5,7.89674E+00,contents,Concrete,8.68614E-08,2.00000E-01
10,5.20283E+02,contents,Concrete,5.72294E-06,1.00000E-01
25,1.14757E+04,contents,Concrete,1.26229E-04,4.00000E-02
50,6.18809E+04,contents,Concrete,6.80669E-04,2.00000E-02
100,2.06996E+05,contents,Concrete,2.27689E-03,1.00000E-02
250,6.61608E+05,contents,Concrete,7.27746E-03,4.00000E-03
500,1.21838E+06,contents,Concrete,1.34018E-02,2.00000E-03
1000,1.97024E+06,contents,Concrete,2.16719E-02,1.00000E-03
2500,3.21707E+06,contents,Concrete,3.53867E-02,4.00000E-04
5,1.84369E+02,nonstructural,Concrete,7.10953E-07,2.00000E-01
10,7.16083E+03,nonstructural,Concrete,2.76131E-05,1.00000E-01
25,7.37395E+04,nonstructural,Concrete,2.84349E-04,4.00000E-02
50,2.79376E+05,nonstructural,Concrete,1.07731E-03,2.00000E-02
100,7.38891E+05,nonstructural,Concrete,2.84926E-03,1.00000E-02
250,1.86120E+06,nonstructural,Concrete,7.17703E-03,4.00000E-03
500,3.17913E+06,nonstructural,Concrete,1.22592E-02,2.00000E-03
1000,4.96731E+06,nonstructural,Concrete,1.91546E-02,1.00000E-03
2500,8.25827E+06,nonstructural,Concrete,3.18450E-02,4.00000E-04
25,5.51001E-04,occupants,Concrete,2.98088E-07,4.00000E-02
50,6.34017E-03,occupants,Concrete,3.42999E-06,2.00000E-02
100,3.35540E-02,occupants,Concrete,1.81525E-05,1.00000E-02
250,1.45929E-01,occupants,Concrete,7.89469E-05,4.00000E-03
500,3.01578E-01,occupants,Concrete,1.63152E-04,2.00000E-03
1000,5.06741E-01,occupants,Concrete,2.74144E-04,1.00000E-03
2500,8.57255E-01,occupants,Concrete,4.63769E-04,4.00000E-04
5,4.30685E+01,structural,Concrete,3.75417E-07,2.00000E-01
10,2.71534E+03,structural,Concrete,2.36690E-05,1.00000E-01
25,5.65834E+04,structural,Concrete,4.93223E-04,4.00000E-02
50,2.89711E+05,structural,Concrete,2.52534E-03,2.00000E-02
100,8.99879E+05,structural,Concrete,7.84402E-03,1.00000E-02
250,2.48158E+06,structural,Concrete,2.16313E-02,4.00000E-03
500,4.45039E+06,structural,Concrete,3.87930E-02,2.00000E-03
1000,7.46371E+06,structural,Concrete,6.50593E-02,1.00000E-03
2500,1.33119E+07,structural,Concrete,1.16037E-01,4.00000E-04
10,3.01737E+01,contents,RMasonry,2.10395E-06,1.00000E-01
25,1.24408E+03,contents,RMasonry,8.67475E-05,4.00000E-02
50,9.18460E+03,contents,RMasonry,6.40424E-04,2.00000E-02
100,4.20256E+04,contents,RMasonry,2.93036E-03,1.00000E-02
250,1.74197E+05,contents,RMasonry,1.21464E-02,4.00000E-03
500,3.87668E+05,contents,RMasonry,2.70313E-02,2.00000E-03
1000,7.35805E+05,contents,RMasonry,5.13062E-02,1.00000E-03
2500,1.38319E+06,contents,RMasonry,9.64475E-02,4.00000E-04
10,5.06643E+02,nonstructural,RMasonry,1.44291E-05,1.00000E-01
25,8.93273E+03,nonstructural,RMasonry,2.54403E-04,4.00000E-02
50,3.68581E+04,nonstructural,RMasonry,1.04971E-03,2.00000E-02
100,1.05415E+05,nonstructural,RMasonry,3.00220E-03,1.00000E-02
250,3.13974E+05,nonstructural,RMasonry,8.94194E-03,4.00000E-03
