#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-11T19:28:18', checksum=1495686841, risk_investigation_time=1.0, kind='agg_curves-quantile-0.05'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
250,2.20285E+00,contents,Wood,4.31047E-08,4.00000E-03
500,1.66465E+03,contents,Wood,3.25732E-05,2.00000E-03
1000,8.74954E+03,contents,Wood,1.71208E-04,1.00000E-03
2500,5.92006E+04,contents,Wood,1.15842E-03,4.00000E-04
250,3.10605E+01,nonstructural,Wood,1.04650E-07,4.00000E-03
500,3.79405E+04,nonstructural,Wood,1.27831E-04,2.00000E-03
1000,1.53315E+05,nonstructural,Wood,5.16556E-04,1.00000E-03
2500,6.11026E+05,nonstructural,Wood,2.05870E-03,4.00000E-04
2500,4.42371E-04,occupants,Wood,2.31300E-07,4.00000E-04
250,1.94024E+05,structural,Wood,2.38044E-03,4.00000E-03
500,6.95528E+05,structural,Wood,8.53329E-03,2.00000E-03
1000,1.24134E+06,structural,Wood,1.52298E-02,1.00000E-03
2500,1.83191E+06,structural,Wood,2.24754E-02,4.00000E-04
250,3.52405E+00,contents,RMasonry,2.67166E-07,4.00000E-03
500,1.84069E+02,contents,RMasonry,1.39547E-05,2.00000E-03
1000,1.45751E+03,contents,RMasonry,1.10497E-04,1.00000E-03
2500,1.15134E+04,contents,RMasonry,8.72860E-04,4.00000E-04
250,3.24593E+01,nonstructural,RMasonry,1.15977E-06,4.00000E-03
500,2.11895E+03,nonstructural,RMasonry,7.57102E-05,2.00000E-03
1000,8.07269E+03,nonstructural,RMasonry,2.88437E-04,1.00000E-03
2500,3.41954E+04,nonstructural,RMasonry,1.22180E-03,4.00000E-04
2500,2.08153E-04,occupants,RMasonry,4.51741E-07,4.00000E-04
250,1.73375E-01,structural,RMasonry,1.18664E-08,4.00000E-03
500,1.61090E+02,structural,RMasonry,1.10256E-05,2.00000E-03
1000,1.19592E+03,structural,RMasonry,8.18533E-05,1.00000E-03
2500,9.31687E+03,structural,RMasonry,6.37679E-04,4.00000E-04
250,9.03035E+00,contents,Steel,1.64440E-07,4.00000E-03
500,3.94646E+02,contents,Steel,7.18640E-06,2.00000E-03
1000,2.50975E+03,contents,Steel,4.57020E-05,1.00000E-03
2500,1.61284E+04,contents,Steel,2.93695E-04,4.00000E-04
250,3.43509E+02,nonstructural,Steel,3.19248E-06,4.00000E-03
500,8.09925E+03,nonstructural,Steel,7.52721E-05,2.00000E-03
1000,3.10470E+04,nonstructural,Steel,2.88542E-04,1.00000E-03
2500,1.14886E+05,nonstructural,Steel,1.06772E-03,4.00000E-04
500,2.09711E-05,occupants,Steel,1.38430E-08,2.00000E-03
1000,3.82646E-04,occupants,Steel,2.52585E-07,1.00000E-03
2500,3.20807E-03,occupants,Steel,2.11765E-06,4.00000E-04
250,3.56308E+01,structural,Steel,5.76960E-07,4.00000E-03
500,2.36860E+03,structural,Steel,3.83542E-05,2.00000E-03
1000,1.26173E+04,structural,Steel,2.04308E-04,1.00000E-03
