#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-08T10:57:45', checksum=1457544887, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
25,5.38525E+00,contents,Wood,1.05377E-07,4.00000E-02
50,3.02084E+02,contents,Wood,5.91108E-06,2.00000E-02
100,3.57024E+03,contents,Wood,6.98612E-05,1.00000E-02
250,4.16330E+04,contents,Wood,8.14660E-04,4.00000E-03
500,1.78758E+05,contents,Wood,3.49787E-03,2.00000E-03
1000,6.02946E+05,contents,Wood,1.17983E-02,1.00000E-03
2500,2.19758E+06,contents,Wood,4.30015E-02,4.00000E-04
25,1.18793E+02,nonstructural,Wood,4.00245E-07,4.00000E-02
50,5.56712E+03,nonstructural,Wood,1.87570E-05,2.00000E-02
100,4.52301E+04,nonstructural,Wood,1.52392E-04,1.00000E-02
250,3.29320E+05,nonstructural,Wood,1.10956E-03,4.00000E-03
500,1.11158E+06,nonstructural,Wood,3.74521E-03,2.00000E-03
1000,3.19485E+06,nonstructural,Wood,1.07643E-02,1.00000E-03
2500,1.04441E+07,nonstructural,Wood,3.51888E-02,4.00000E-04
50,6.00812E-08,occupants,Wood,3.14144E-11,2.00000E-02
100,2.01531E-05,occupants,Wood,1.05374E-08,1.00000E-02
250,7.46837E-04,occupants,Wood,3.90495E-07,4.00000E-03
500,4.88289E-03,occupants,Wood,2.55309E-06,2.00000E-03
1000,2.08929E-02,occupants,Wood,1.09242E-05,1.00000E-03
2500,9.53508E-02,occupants,Wood,4.98556E-05,4.00000E-04
25,7.04248E+03,structural,Wood,8.64028E-05,4.00000E-02
50,9.81235E+04,structural,Wood,1.20386E-03,2.00000E-02
100,3.66161E+05,structural,Wood,4.49235E-03,1.00000E-02
250,1.16009E+06,structural,Wood,1.42329E-02,4.00000E-03
500,2.19123E+06,structural,Wood,2.68838E-02,2.00000E-03
1000,4.10954E+06,structural,Wood,5.04192E-02,1.00000E-03
2500,9.56800E+06,structural,Wood,1.17388E-01,4.00000E-04
25,4.07199E-01,contents,RMasonry,3.08707E-08,4.00000E-02
50,2.89223E+01,contents,RMasonry,2.19267E-06,2.00000E-02
100,4.44153E+02,contents,RMasonry,3.36723E-05,1.00000E-02
250,7.03245E+03,contents,RMasonry,5.33146E-04,4.00000E-03
500,3.58333E+04,contents,RMasonry,2.71661E-03,2.00000E-03
1000,1.31042E+05,contents,RMasonry,9.93461E-03,1.00000E-03
2500,5.03784E+05,contents,RMasonry,3.81930E-02,4.00000E-04
25,3.82987E+00,nonstructural,RMasonry,1.36841E-07,4.00000E-02
50,2.00968E+02,nonstructural,RMasonry,7.18057E-06,2.00000E-02
100,1.88368E+03,nonstructural,RMasonry,6.73038E-05,1.00000E-02
250,1.70006E+04,nonstructural,RMasonry,6.07430E-04,4.00000E-03
500,6.52698E+04,nonstructural,RMasonry,2.33209E-03,2.00000E-03
1000,2.02053E+05,nonstructural,RMasonry,7.21936E-03,1.00000E-03
2500,7.06735E+05,nonstructural,RMasonry,2.52516E-02,4.00000E-04
50,1.24597E-08,occupants,RMasonry,2.70404E-11,2.00000E-02
100,7.64826E-06,occupants,RMasonry,1.65985E-08,1.00000E-02
250,4.39313E-04,occupants,RMasonry,9.53411E-07,4.00000E-03
