rlz_id,branch_path,weight
0,0~2ANSV,4.1666668e-04
1,0~3BNTS,4.1666668e-04
2,0~2FMSS,4.1666668e-04
3,0~1BNSU,4.1666668e-04
4,0~29NVS,4.1666668e-04
5,0~3AMSV,4.1666668e-04
6,0~19LVU,4.1666668e-04
7,0~0CMUU,4.1666668e-04
8,0~0BMSS,4.1666668e-04
9,0~1JKSS,4.1666668e-04
10,0~1EKVV,4.1666668e-04
11,0~0DMUT,4.1666668e-04
12,0~2DLVT,4.1666668e-04
13,0~2ALVU,4.1666668e-04
14,0~24NTT,4.1666668e-04
15,0~0ALSV,4.1666668e-04
16,0~2GNUS,4.1666668e-04
17,0~3ALSS,4.1666668e-04
18,0~19KSS,4.1666668e-04
19,0~1FNVS,4.1666668e-04
20,0~2ALUT,4.1666668e-04
21,0~2HLUU,4.1666668e-04
22,0~1DMTV,4.1666668e-04
23,0~09NTU,4.1666668e-04
24,0~0GKUV,4.1666668e-04
25,0~0AMTU,4.1666668e-04
26,0~2ALTS,4.1666668e-04
27,0~3BKUV,4.1666668e-04
28,0~2FLSV,4.1666668e-04
29,0~3ELTT,4.1666668e-04
30,0~2JNVT,4.1666668e-04
31,0~3AKSU,4.1666668e-04
32,0~2ALUV,4.1666668e-04
33,0~3JNVV,4.1666668e-04
34,0~2FLUT,4.1666668e-04
35,0~39NUV,4.1666668e-04
36,0~2AMSV,4.1666668e-04
37,0~29MVT,4.1666668e-04
38,0~17LVT,4.1666668e-04
39,0~18LTV,4.1666668e-04
40,0~09MVS,4.1666668e-04
41,0~2DMUV,4.1666668e-04
42,0~0BMTV,4.1666668e-04
43,0~04LSV,4.1666668e-04
44,0~34KTU,4.1666668e-04
45,0~09KTU,4.1666668e-04
46,0~14MTS,4.1666668e-04
47,0~07NUU,4.1666668e-04
48,0~39MSV,4.1666668e-04
49,0~1AMSV,4.1666668e-04
50,0~25MVU,4.1666668e-04
51,0~0BNVU,4.1666668e-04
52,0~19MVS,4.1666668e-04
53,0~1BLTV,4.1666668e-04
54,0~2BNSS,4.1666668e-04
55,0~0ANUV,4.1666668e-04
56,0~29LUS,4.1666668e-04
57,0~2BNSU,4.1666668e-04
58,0~29KUU,4.1666668e-04
59,0~2BNSU,4.1666668e-04
60,0~0ALUU,4.1666668e-04
61,0~3GKTU,4.1666668e-04
62,0~19NVS,4.1666668e-04
63,0~3CKSU,4.1666668e-04
64,0~2FMSV,4.1666668e-04
65,0~1ANTV,4.1666668e-04
66,0~08KST,4.1666668e-04
67,0~1DKUU,4.1666668e-04
68,0~0BMVT,4.1666668e-04
69,0~14KTV,4.1666668e-04
70,0~29NVT,4.1666668e-04
71,0~19KSV,4.1666668e-04
72,0~3ALVT,4.1666668e-04
73,0~14NVS,4.1666668e-04
74,0~19MSU,4.1666668e-04
75,0~0ALUV,4.1666668e-04
76,0~0BLVV,4.1666668e-04
77,0~2BLST,4.1666668e-04
78,0~19KUT,4.1666668e-04
79,0~19MTT,4.1666668e-04
80,0~3FMSS,4.1666668e-04
81,0~04LUS,4.1666668e-04
82,0~07NSS,4.1666668e-04
83,0~0AKVV,4.1666668e-04
84,0~04LVS,4.1666668e-04
85,0~09NTT,4.1666668e-04
86,0~3BLTV,4.1666668e-04
87,0~2ALTU,4.1666668e-04
88,0~1AMVU,4.1666668e-04
89,0~2FKVV,4.1666668e-04
90,0~3BKTU,4.1666668e-04
91,0~1FNSU,4.1666668e-04
92,0~2ANSV,4.1666668e-04
93,0~0ALST,4.1666668e-04
94,0~29MTV,4.1666668e-04
95,0~0FKTS,4.1666668e-04
96,0~2AMSV,4.1666668e-04
97,0~2ANST,4.1666668e-04
98,0~3FNSU,4.1666668e-04
99,0~0DMTV,4.1666668e-04
100,0~19KUU,4.1666668e-04
101,0~14LUU,4.1666668e-04
102,0~1FNTV,4.1666668e-04
103,0~0IKTT,4.1666668e-04
104,0~26LVS,4.1666668e-04
105,0~3AMUS,4.1666668e-04
106,0~19NVS,4.1666668e-04
107,0~1AKTS,4.1666668e-04
108,0~1HKVV,4.1666668e-04
109,0~1FKSU,4.1666668e-04
110,0~0HNSS,4.1666668e-04
111,0~2BLVU,4.1666668e-04
112,0~2AKST,4.1666668e-04
113,0~0GLUV,4.1666668e-04
114,0~06NUT,4.1666668e-04
115,0~3ANSS,4.1666668e-04
116,0~25NST,4.1666668e-04
117,0~04LVT,4.1666668e-04
118,0~27NSU,4.1666668e-04
119,0~2BNSV,4.1666668e-04
120,0~1AKVS,4.1666668e-04
