#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-08T12:29:17', checksum=2943508206, risk_investigation_time=1.0, kind='agg_curves-quantile-0.95'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
50,1.33421E+03,contents,Wood,2.61074E-05,2.00000E-02
100,1.65657E+04,contents,Wood,3.24152E-04,1.00000E-02
250,2.12674E+05,contents,Wood,4.16154E-03,4.00000E-03
500,9.66386E+05,contents,Wood,1.89099E-02,2.00000E-03
1000,2.94352E+06,contents,Wood,5.75978E-02,1.00000E-03
2500,8.90870E+06,contents,Wood,1.74322E-01,4.00000E-04
50,2.74018E+04,nonstructural,Wood,9.23236E-05,2.00000E-02
100,2.31525E+05,nonstructural,Wood,7.80067E-04,1.00000E-02
250,1.54925E+06,nonstructural,Wood,5.21981E-03,4.00000E-03
500,5.33891E+06,nonstructural,Wood,1.79881E-02,2.00000E-03
1000,1.43277E+07,nonstructural,Wood,4.82737E-02,1.00000E-03
2500,4.06135E+07,nonstructural,Wood,1.36837E-01,4.00000E-04
250,3.11203E-03,occupants,Wood,1.62717E-06,4.00000E-03
500,2.67799E-02,occupants,Wood,1.40023E-05,2.00000E-03
1000,1.26699E-01,occupants,Wood,6.62462E-05,1.00000E-03
2500,4.86301E-01,occupants,Wood,2.54270E-04,4.00000E-04
50,5.94618E+05,structural,Wood,7.29525E-03,2.00000E-02
100,1.30861E+06,structural,Wood,1.60551E-02,1.00000E-02
250,2.75188E+06,structural,Wood,3.37623E-02,4.00000E-03
500,6.44581E+06,structural,Wood,7.90824E-02,2.00000E-03
1000,1.43338E+07,structural,Wood,1.75858E-01,1.00000E-03
2500,3.16647E+07,structural,Wood,3.88489E-01,4.00000E-04
50,1.05426E+02,contents,RMasonry,7.99262E-06,2.00000E-02
100,1.77817E+03,contents,RMasonry,1.34807E-04,1.00000E-02
250,3.55613E+04,contents,RMasonry,2.69598E-03,4.00000E-03
500,1.96820E+05,contents,RMasonry,1.49214E-02,2.00000E-03
1000,6.94312E+05,contents,RMasonry,5.26374E-02,1.00000E-03
2500,2.20836E+06,contents,RMasonry,1.67421E-01,4.00000E-04
50,1.06575E+03,nonstructural,RMasonry,3.80791E-05,2.00000E-02
100,9.33328E+03,nonstructural,RMasonry,3.33478E-04,1.00000E-02
250,7.90148E+04,nonstructural,RMasonry,2.82320E-03,4.00000E-03
500,3.14824E+05,nonstructural,RMasonry,1.12487E-02,2.00000E-03
1000,9.42244E+05,nonstructural,RMasonry,3.36664E-02,1.00000E-03
2500,2.87342E+06,nonstructural,RMasonry,1.02667E-01,4.00000E-04
100,5.55000E-06,occupants,RMasonry,1.20448E-08,1.00000E-02
250,1.52598E-03,occupants,RMasonry,3.31173E-06,4.00000E-03
500,1.97429E-02,occupants,RMasonry,4.28466E-05,2.00000E-03
1000,1.14214E-01,occupants,RMasonry,2.47872E-04,1.00000E-03
2500,5.56348E-01,occupants,RMasonry,1.20740E-03,4.00000E-04
50,6.31347E+01,structural,RMasonry,4.32116E-06,2.00000E-02
100,1.43359E+03,structural,RMasonry,9.81202E-05,1.00000E-02
250,2.81790E+04,structural,RMasonry,1.92867E-03,4.00000E-03
500,1.40433E+05,structural,RMasonry,9.61170E-03,2.00000E-03
1000,4.89908E+05,structural,RMasonry,3.35311E-02,1.00000E-03
2500,1.64573E+06,structural,RMasonry,1.12640E-01,4.00000E-04
50,2.68422E+02,contents,Steel,4.88791E-06,2.00000E-02
100,4.09689E+03,contents,Steel,7.46033E-05,1.00000E-02
250,6.82139E+04,contents,Steel,1.24216E-03,4.00000E-03
500,3.26982E+05,contents,Steel,5.95427E-03,2.00000E-03
1000,1.05899E+06,contents,Steel,1.92839E-02,1.00000E-03
2500,3.56315E+06,contents,Steel,6.48842E-02,4.00000E-04
50,6.63711E+03,nonstructural,Steel,6.16833E-05,2.00000E-02
100,4.94711E+04,nonstructural,Steel,4.59770E-04,1.00000E-02
250,3.47675E+05,nonstructural,Steel,3.23119E-03,4.00000E-03
500,1.02924E+06,nonstructural,Steel,9.56546E-03,2.00000E-03
1000,2.60462E+06,nonstructural,Steel,2.42065E-02,1.00000E-03
2500,7.83437E+06,nonstructural,Steel,7.28104E-02,4.00000E-04
50,5.55000E-06,occupants,Steel,3.66356E-09,2.00000E-02
100,7.76001E-04,occupants,Steel,5.12239E-07,1.00000E-02
250,2.10195E-02,occupants,Steel,1.38750E-05,4.00000E-03
500,1.10188E-01,occupants,Steel,7.27349E-05,2.00000E-03
1000,3.67851E-01,occupants,Steel,2.42819E-04,1.00000E-03
2500,1.23669E+00,occupants,Steel,8.16338E-04,4.00000E-04
50,1.64526E+03,structural,Steel,2.66412E-05,2.00000E-02
100,2.28698E+04,structural,Steel,3.70325E-04,1.00000E-02
250,2.60722E+05,structural,Steel,4.22181E-03,4.00000E-03
500,1.02106E+06,structural,Steel,1.65337E-02,2.00000E-03
1000,3.06640E+06,structural,Steel,4.96534E-02,1.00000E-03
2500,1.01325E+07,structural,Steel,1.64073E-01,4.00000E-04
50,2.19895E+05,contents,URMasonry,3.09294E-03,2.00000E-02
100,7.18053E+05,contents,URMasonry,1.00998E-02,1.00000E-02
250,1.99447E+06,contents,URMasonry,2.80532E-02,4.00000E-03
500,3.73004E+06,contents,URMasonry,5.24649E-02,2.00000E-03
1000,6.11689E+06,contents,URMasonry,8.60373E-02,1.00000E-03
2500,1.03142E+07,contents,URMasonry,1.45074E-01,4.00000E-04
50,2.41843E+05,nonstructural,URMasonry,1.58558E-03,2.00000E-02
100,1.03764E+06,nonstructural,URMasonry,6.80303E-03,1.00000E-02
250,4.87595E+06,nonstructural,URMasonry,3.19680E-02,4.00000E-03
500,1.31587E+07,nonstructural,URMasonry,8.62715E-02,2.00000E-03
1000,2.84496E+07,nonstructural,URMasonry,1.86523E-01,1.00000E-03
2500,5.92593E+07,nonstructural,URMasonry,3.88519E-01,4.00000E-04
100,3.50500E-05,occupants,URMasonry,1.20625E-08,1.00000E-02
250,2.20082E-02,occupants,URMasonry,7.57418E-06,4.00000E-03
500,3.04852E-01,occupants,URMasonry,1.04916E-04,2.00000E-03
1000,1.83734E+00,occupants,URMasonry,6.32324E-04,1.00000E-03
2500,8.19107E+00,occupants,URMasonry,2.81898E-03,4.00000E-04
50,1.18708E+04,structural,URMasonry,1.48127E-04,2.00000E-02
100,1.54892E+05,structural,URMasonry,1.93278E-03,1.00000E-02
250,1.65484E+06,structural,URMasonry,2.06496E-02,4.00000E-03
500,5.98048E+06,structural,URMasonry,7.46262E-02,2.00000E-03
1000,1.46234E+07,structural,URMasonry,1.82475E-01,1.00000E-03
2500,3.34871E+07,structural,URMasonry,4.17862E-01,4.00000E-04
50,7.92813E+02,contents,Concrete,6.00929E-06,2.00000E-02
100,1.28155E+04,contents,Concrete,9.71375E-05,1.00000E-02
250,2.26490E+05,contents,Concrete,1.71673E-03,4.00000E-03
500,1.04778E+06,contents,Concrete,7.94185E-03,2.00000E-03
1000,3.36722E+06,contents,Concrete,2.55225E-02,1.00000E-03
2500,1.07608E+07,contents,Concrete,8.15635E-02,4.00000E-04
50,1.57162E+04,nonstructural,Concrete,4.85699E-05,2.00000E-02
100,1.21537E+05,nonstructural,Concrete,3.75602E-04,1.00000E-02
250,8.30047E+05,nonstructural,Concrete,2.56521E-03,4.00000E-03
500,2.62722E+06,nonstructural,Concrete,8.11927E-03,2.00000E-03
1000,7.05312E+06,nonstructural,Concrete,2.17972E-02,1.00000E-03
2500,2.22708E+07,nonstructural,Concrete,6.88266E-02,4.00000E-04
100,7.48610E-04,occupants,Concrete,2.54416E-07,1.00000E-02
250,3.97146E-02,occupants,Concrete,1.34971E-05,4.00000E-03
500,2.99211E-01,occupants,Concrete,1.01687E-04,2.00000E-03
1000,1.14918E+00,occupants,Concrete,3.90550E-04,1.00000E-03
2500,4.02289E+00,occupants,Concrete,1.36719E-03,4.00000E-04
50,4.35979E+03,structural,Concrete,2.82685E-05,2.00000E-02
100,6.30226E+04,structural,Concrete,4.08633E-04,1.00000E-02
250,7.16236E+05,structural,Concrete,4.64401E-03,4.00000E-03
500,2.60667E+06,structural,Concrete,1.69014E-02,2.00000E-03
1000,7.48691E+06,structural,Concrete,4.85445E-02,1.00000E-03
2500,2.31101E+07,structural,Concrete,1.49844E-01,4.00000E-04
50,2.32500E+01,contents,Precast,3.82723E-06,2.00000E-02
100,4.36971E+02,contents,Precast,7.19306E-05,1.00000E-02
250,9.50201E+03,contents,Precast,1.56414E-03,4.00000E-03
500,6.32446E+04,contents,Precast,1.04108E-02,2.00000E-03
1000,2.47795E+05,contents,Precast,4.07900E-02,1.00000E-03
2500,8.54071E+05,contents,Precast,1.40590E-01,4.00000E-04
50,4.56028E+02,nonstructural,Precast,4.14083E-05,2.00000E-02
100,5.89140E+03,nonstructural,Precast,5.34952E-04,1.00000E-02
250,4.03823E+04,nonstructural,Precast,3.66680E-03,4.00000E-03
500,1.38576E+05,nonstructural,Precast,1.25830E-02,2.00000E-03
1000,4.12253E+05,nonstructural,Precast,3.74334E-02,1.00000E-03
2500,1.30926E+06,nonstructural,Precast,1.18883E-01,4.00000E-04
250,6.41624E-04,occupants,Precast,3.02824E-06,4.00000E-03
500,1.22853E-02,occupants,Precast,5.79822E-05,2.00000E-03
1000,9.28601E-02,occupants,Precast,4.38267E-04,1.00000E-03
2500,4.85942E-01,occupants,Precast,2.29348E-03,4.00000E-04
50,4.42953E+01,structural,Precast,6.56238E-06,2.00000E-02
100,1.99772E+03,structural,Precast,2.95963E-04,1.00000E-02
250,3.11655E+04,structural,Precast,4.61719E-03,4.00000E-03
500,1.36802E+05,structural,Precast,2.02673E-02,2.00000E-03
1000,4.10766E+05,structural,Precast,6.08553E-02,1.00000E-03
2500,1.25752E+06,structural,Precast,1.86302E-01,4.00000E-04
50,2.29524E+05,contents,*total*,6.99103E-04,2.00000E-02
100,7.81791E+05,contents,*total*,2.38124E-03,1.00000E-02
250,2.67185E+06,contents,*total*,8.13812E-03,4.00000E-03
500,6.49026E+06,contents,*total*,1.97685E-02,2.00000E-03
1000,1.46003E+07,contents,*total*,4.44706E-02,1.00000E-03
2500,3.64008E+07,contents,*total*,1.10872E-01,4.00000E-04
50,3.34843E+05,nonstructural,*total*,3.64155E-04,2.00000E-02
100,1.59416E+06,nonstructural,*total*,1.73372E-03,1.00000E-02
250,7.97882E+06,nonstructural,*total*,8.67728E-03,4.00000E-03
