#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-10T19:14:50', checksum=2947178073, risk_investigation_time=1.0, kind='agg_curves-quantile-0.95'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
50,7.23995E+02,contents,Wood,1.41669E-05,2.00000E-02
100,1.02299E+04,contents,Wood,2.00175E-04,1.00000E-02
250,1.26762E+05,contents,Wood,2.48043E-03,4.00000E-03
500,5.78809E+05,contents,Wood,1.13259E-02,2.00000E-03
1000,2.11279E+06,contents,Wood,4.13424E-02,1.00000E-03
2500,7.57505E+06,contents,Wood,1.48226E-01,4.00000E-04
50,1.50947E+04,nonstructural,Wood,5.08579E-05,2.00000E-02
100,1.66226E+05,nonstructural,Wood,5.60058E-04,1.00000E-02
250,1.01626E+06,nonstructural,Wood,3.42404E-03,4.00000E-03
500,3.35764E+06,nonstructural,Wood,1.13127E-02,2.00000E-03
1000,1.03166E+07,nonstructural,Wood,3.47591E-02,1.00000E-03
2500,3.40253E+07,nonstructural,Wood,1.14640E-01,4.00000E-04
250,8.60732E-04,occupants,Wood,4.50047E-07,4.00000E-03
500,9.96555E-03,occupants,Wood,5.21064E-06,2.00000E-03
1000,6.43751E-02,occupants,Wood,3.36595E-05,1.00000E-03
2500,3.48047E-01,occupants,Wood,1.81982E-04,4.00000E-04
50,4.48512E+05,structural,Wood,5.50270E-03,2.00000E-02
100,1.14249E+06,structural,Wood,1.40169E-02,1.00000E-02
250,2.09980E+06,structural,Wood,2.57621E-02,4.00000E-03
500,4.23572E+06,structural,Wood,5.19672E-02,2.00000E-03
1000,1.02555E+07,structural,Wood,1.25822E-01,1.00000E-03
2500,2.64074E+07,structural,Wood,3.23987E-01,4.00000E-04
50,5.28348E+01,contents,RMasonry,4.00553E-06,2.00000E-02
100,1.02968E+03,contents,RMasonry,7.80622E-05,1.00000E-02
250,1.79676E+04,contents,RMasonry,1.36216E-03,4.00000E-03
500,1.07193E+05,contents,RMasonry,8.12653E-03,2.00000E-03
1000,4.46188E+05,contents,RMasonry,3.38266E-02,1.00000E-03
2500,1.73763E+06,contents,RMasonry,1.31734E-01,4.00000E-04
50,4.12661E+02,nonstructural,RMasonry,1.47444E-05,2.00000E-02
100,5.95746E+03,nonstructural,RMasonry,2.12860E-04,1.00000E-02
250,4.90536E+04,nonstructural,RMasonry,1.75268E-03,4.00000E-03
500,1.90066E+05,nonstructural,RMasonry,6.79106E-03,2.00000E-03
1000,6.37019E+05,nonstructural,RMasonry,2.27607E-02,1.00000E-03
2500,2.29714E+06,nonstructural,RMasonry,8.20769E-02,4.00000E-04
250,4.05272E-04,occupants,RMasonry,8.79534E-07,4.00000E-03
500,7.32064E-03,occupants,RMasonry,1.58875E-05,2.00000E-03
1000,5.95672E-02,occupants,RMasonry,1.29275E-04,1.00000E-03
2500,3.97904E-01,occupants,RMasonry,8.63545E-04,4.00000E-04
50,1.96433E+01,structural,RMasonry,1.34446E-06,2.00000E-02
100,7.47100E+02,structural,RMasonry,5.11342E-05,1.00000E-02
250,1.45547E+04,structural,RMasonry,9.96173E-04,4.00000E-03
500,7.95532E+04,structural,RMasonry,5.44490E-03,2.00000E-03
1000,3.13310E+05,structural,RMasonry,2.14440E-02,1.00000E-03
2500,1.26650E+06,structural,RMasonry,8.66835E-02,4.00000E-04
50,1.30268E+02,contents,Steel,2.37215E-06,2.00000E-02
100,2.29120E+03,contents,Steel,4.17221E-05,1.00000E-02
250,3.34590E+04,contents,Steel,6.09280E-04,4.00000E-03
500,1.75002E+05,contents,Steel,3.18675E-03,2.00000E-03
1000,7.07017E+05,contents,Steel,1.28746E-02,1.00000E-03
2500,2.83783E+06,contents,Steel,5.16763E-02,4.00000E-04
50,3.89662E+03,nonstructural,Steel,3.62140E-05,2.00000E-02
100,3.28942E+04,nonstructural,Steel,3.05709E-04,1.00000E-02
250,2.19535E+05,nonstructural,Steel,2.04029E-03,4.00000E-03
500,6.80823E+05,nonstructural,Steel,6.32737E-03,2.00000E-03
1000,1.95603E+06,nonstructural,Steel,1.81788E-02,1.00000E-03
2500,6.49587E+06,nonstructural,Steel,6.03707E-02,4.00000E-04
100,3.41702E-04,occupants,Steel,2.25558E-07,1.00000E-02
250,9.15307E-03,occupants,Steel,6.04195E-06,4.00000E-03
500,5.65973E-02,occupants,Steel,3.73600E-05,2.00000E-03
1000,2.40880E-01,occupants,Steel,1.59005E-04,1.00000E-03
2500,9.57535E-01,occupants,Steel,6.32070E-04,4.00000E-04
50,7.57314E+02,structural,Steel,1.22630E-05,2.00000E-02
100,1.35970E+04,structural,Steel,2.20173E-04,1.00000E-02
250,1.48953E+05,structural,Steel,2.41196E-03,4.00000E-03
500,6.32130E+05,structural,Steel,1.02359E-02,2.00000E-03
1000,2.27053E+06,structural,Steel,3.67661E-02,1.00000E-03
2500,8.40067E+06,structural,Steel,1.36030E-01,4.00000E-04
50,1.30268E+05,contents,URMasonry,1.83229E-03,2.00000E-02
100,5.72160E+05,contents,URMasonry,8.04774E-03,1.00000E-02
250,1.59586E+06,contents,URMasonry,2.24466E-02,4.00000E-03
500,2.96355E+06,contents,URMasonry,4.16838E-02,2.00000E-03
1000,5.09153E+06,contents,URMasonry,7.16150E-02,1.00000E-03
2500,9.18464E+06,contents,URMasonry,1.29187E-01,4.00000E-04
50,1.42187E+05,nonstructural,URMasonry,9.32216E-04,2.00000E-02
100,7.44994E+05,nonstructural,URMasonry,4.88437E-03,1.00000E-02
250,3.33067E+06,nonstructural,URMasonry,2.18367E-02,4.00000E-03
500,8.86573E+06,nonstructural,URMasonry,5.81259E-02,2.00000E-03
1000,2.10916E+07,nonstructural,URMasonry,1.38282E-01,1.00000E-03
2500,5.05207E+07,nonstructural,URMasonry,3.31226E-01,4.00000E-04
250,6.90567E-03,occupants,URMasonry,2.37660E-06,4.00000E-03
500,1.23103E-01,occupants,URMasonry,4.23663E-05,2.00000E-03
1000,1.04336E+00,occupants,URMasonry,3.59073E-04,1.00000E-03
2500,6.38454E+00,occupants,URMasonry,2.19726E-03,4.00000E-04
