#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-10T12:51:30', checksum=2945867503, risk_investigation_time=1.0, kind='agg_curves-quantile-0.95'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
50,1.64667E+03,contents,Wood,3.22215E-05,2.00000E-02
100,2.11153E+04,contents,Wood,4.13177E-04,1.00000E-02
250,2.74642E+05,contents,Wood,5.37410E-03,4.00000E-03
500,1.09828E+06,contents,Wood,2.14907E-02,2.00000E-03
1000,3.29682E+06,contents,Wood,6.45111E-02,1.00000E-03
2500,9.56246E+06,contents,Wood,1.87115E-01,4.00000E-04
50,3.36982E+04,nonstructural,Wood,1.13538E-04,2.00000E-02
100,2.77999E+05,nonstructural,Wood,9.36647E-04,1.00000E-02
250,1.86701E+06,nonstructural,Wood,6.29044E-03,4.00000E-03
500,5.81350E+06,nonstructural,Wood,1.95871E-02,2.00000E-03
1000,1.56343E+07,nonstructural,Wood,5.26758E-02,1.00000E-03
2500,4.28287E+07,nonstructural,Wood,1.44300E-01,4.00000E-04
250,2.63686E-03,occupants,Wood,1.37872E-06,4.00000E-03
500,2.51065E-02,occupants,Wood,1.31273E-05,2.00000E-03
1000,1.18543E-01,occupants,Wood,6.19821E-05,1.00000E-03
2500,4.79755E-01,occupants,Wood,2.50847E-04,4.00000E-04
25,3.42656E+03,structural,Wood,4.20398E-05,4.00000E-02
50,5.93954E+05,structural,Wood,7.28711E-03,2.00000E-02
100,1.35939E+06,structural,Wood,1.66781E-02,1.00000E-02
250,2.67585E+06,structural,Wood,3.28295E-02,4.00000E-03
500,6.32825E+06,structural,Wood,7.76401E-02,2.00000E-03
1000,1.42020E+07,structural,Wood,1.74241E-01,1.00000E-03
2500,3.14062E+07,structural,Wood,3.85317E-01,4.00000E-04
50,9.90500E+01,contents,RMasonry,7.50921E-06,2.00000E-02
100,2.09459E+03,contents,RMasonry,1.58795E-04,1.00000E-02
250,3.75789E+04,contents,RMasonry,2.84894E-03,4.00000E-03
500,2.06149E+05,contents,RMasonry,1.56286E-02,2.00000E-03
1000,7.23027E+05,contents,RMasonry,5.48144E-02,1.00000E-03
2500,2.27028E+06,contents,RMasonry,1.72115E-01,4.00000E-04
50,9.73151E+02,nonstructural,RMasonry,3.47707E-05,2.00000E-02
100,1.05566E+04,nonstructural,RMasonry,3.77189E-04,1.00000E-02
250,8.48080E+04,nonstructural,RMasonry,3.03019E-03,4.00000E-03
500,3.26380E+05,nonstructural,RMasonry,1.16616E-02,2.00000E-03
1000,9.88391E+05,nonstructural,RMasonry,3.53152E-02,1.00000E-03
2500,2.98383E+06,nonstructural,RMasonry,1.06612E-01,4.00000E-04
100,4.61858E-06,occupants,RMasonry,1.00234E-08,1.00000E-02
250,1.47845E-03,occupants,RMasonry,3.20857E-06,4.00000E-03
500,1.99677E-02,occupants,RMasonry,4.33346E-05,2.00000E-03
1000,1.18221E-01,occupants,RMasonry,2.56567E-04,1.00000E-03
2500,5.68559E-01,occupants,RMasonry,1.23391E-03,4.00000E-04
50,5.56492E+01,structural,RMasonry,3.80883E-06,2.00000E-02
100,1.73985E+03,structural,RMasonry,1.19081E-04,1.00000E-02
250,2.97301E+04,structural,RMasonry,2.03483E-03,4.00000E-03
500,1.49091E+05,structural,RMasonry,1.02043E-02,2.00000E-03
1000,5.05169E+05,structural,RMasonry,3.45756E-02,1.00000E-03
2500,1.69625E+06,structural,RMasonry,1.16097E-01,4.00000E-04
50,2.95541E+02,contents,Steel,5.38173E-06,2.00000E-02
100,4.93856E+03,contents,Steel,8.99301E-05,1.00000E-02
250,7.44208E+04,contents,Steel,1.35519E-03,4.00000E-03
500,3.47126E+05,contents,Steel,6.32108E-03,2.00000E-03
1000,1.14108E+06,contents,Steel,2.07787E-02,1.00000E-03
2500,3.68659E+06,contents,Steel,6.71319E-02,4.00000E-04
50,7.40057E+03,nonstructural,Steel,6.87787E-05,2.00000E-02
100,5.96390E+04,nonstructural,Steel,5.54268E-04,1.00000E-02
250,4.05687E+05,nonstructural,Steel,3.77034E-03,4.00000E-03
500,1.12087E+06,nonstructural,Steel,1.04170E-02,2.00000E-03
1000,2.80838E+06,nonstructural,Steel,2.61003E-02,1.00000E-03
2500,8.21742E+06,nonstructural,Steel,7.63703E-02,4.00000E-04
50,3.19000E-06,occupants,Steel,2.10572E-09,2.00000E-02
100,9.34180E-04,occupants,Steel,6.16653E-07,1.00000E-02
250,2.23607E-02,occupants,Steel,1.47603E-05,4.00000E-03
500,1.12346E-01,occupants,Steel,7.41598E-05,2.00000E-03
1000,3.77525E-01,occupants,Steel,2.49204E-04,1.00000E-03
2500,1.20404E+00,occupants,Steel,7.94790E-04,4.00000E-04
50,1.88925E+03,structural,Steel,3.05921E-05,2.00000E-02
100,2.93093E+04,structural,Steel,4.74598E-04,1.00000E-02
250,3.22261E+05,structural,Steel,5.21830E-03,4.00000E-03
500,1.16325E+06,structural,Steel,1.88362E-02,2.00000E-03
1000,3.32400E+06,structural,Steel,5.38248E-02,1.00000E-03
2500,1.05200E+07,structural,Steel,1.70348E-01,4.00000E-04
50,2.13570E+05,contents,URMasonry,3.00397E-03,2.00000E-02
100,7.60288E+05,contents,URMasonry,1.06939E-02,1.00000E-02
250,2.03101E+06,contents,URMasonry,2.85672E-02,4.00000E-03
500,3.74972E+06,contents,URMasonry,5.27418E-02,2.00000E-03
1000,6.16443E+06,contents,URMasonry,8.67059E-02,1.00000E-03
2500,1.04031E+07,contents,URMasonry,1.46325E-01,4.00000E-04
50,2.30463E+05,nonstructural,URMasonry,1.51098E-03,2.00000E-02
100,1.12298E+06,nonstructural,URMasonry,7.36255E-03,1.00000E-02
250,4.95904E+06,nonstructural,URMasonry,3.25127E-02,4.00000E-03
500,1.31441E+07,nonstructural,URMasonry,8.61760E-02,2.00000E-03
1000,2.82730E+07,nonstructural,URMasonry,1.85365E-01,1.00000E-03
2500,5.95812E+07,nonstructural,URMasonry,3.90629E-01,4.00000E-04
100,8.97101E-05,occupants,URMasonry,3.08739E-08,1.00000E-02
250,2.87981E-02,occupants,URMasonry,9.91094E-06,4.00000E-03
500,3.52002E-01,occupants,URMasonry,1.21142E-04,2.00000E-03
1000,1.99824E+00,occupants,URMasonry,6.87697E-04,1.00000E-03
2500,8.99362E+00,occupants,URMasonry,3.09518E-03,4.00000E-04
50,1.09824E+04,structural,URMasonry,1.37042E-04,2.00000E-02
100,1.82014E+05,structural,URMasonry,2.27122E-03,1.00000E-02
250,1.67285E+06,structural,URMasonry,2.08744E-02,4.00000E-03
500,5.94531E+06,structural,URMasonry,7.41873E-02,2.00000E-03
1000,1.47096E+07,structural,URMasonry,1.83551E-01,1.00000E-03
2500,3.35079E+07,structural,URMasonry,4.18121E-01,4.00000E-04
50,7.85275E+02,contents,Concrete,5.95216E-06,2.00000E-02
100,1.53745E+04,contents,Concrete,1.16534E-04,1.00000E-02
250,2.32973E+05,contents,Concrete,1.76587E-03,4.00000E-03
500,1.09251E+06,contents,Concrete,8.28095E-03,2.00000E-03
1000,3.42638E+06,contents,Concrete,2.59709E-02,1.00000E-03
2500,1.05162E+07,contents,Concrete,7.97095E-02,4.00000E-04
50,1.66077E+04,nonstructural,Concrete,5.13252E-05,2.00000E-02
100,1.43954E+05,nonstructural,Concrete,4.44881E-04,1.00000E-02
250,9.30861E+05,nonstructural,Concrete,2.87677E-03,4.00000E-03
500,2.77345E+06,nonstructural,Concrete,8.57119E-03,2.00000E-03
1000,7.36857E+06,nonstructural,Concrete,2.27721E-02,1.00000E-03
2500,2.17735E+07,nonstructural,Concrete,6.72896E-02,4.00000E-04
100,9.69227E-04,occupants,Concrete,3.29393E-07,1.00000E-02
250,4.37150E-02,occupants,Concrete,1.48566E-05,4.00000E-03
500,3.06001E-01,occupants,Concrete,1.03995E-04,2.00000E-03
1000,1.18349E+00,occupants,Concrete,4.02212E-04,1.00000E-03
2500,3.93130E+00,occupants,Concrete,1.33606E-03,4.00000E-04
50,4.71010E+03,structural,Concrete,3.05399E-05,2.00000E-02
100,8.01846E+04,structural,Concrete,5.19910E-04,1.00000E-02
250,8.56151E+05,structural,Concrete,5.55121E-03,4.00000E-03
500,2.89612E+06,structural,Concrete,1.87782E-02,2.00000E-03
1000,7.83373E+06,structural,Concrete,5.07932E-02,1.00000E-03
2500,2.33772E+07,structural,Concrete,1.51576E-01,4.00000E-04
50,2.64848E+01,contents,Precast,4.35972E-06,2.00000E-02
100,5.49635E+02,contents,Precast,9.04764E-05,1.00000E-02
250,1.16304E+04,contents,Precast,1.91450E-03,4.00000E-03
500,7.00200E+04,contents,Precast,1.15261E-02,2.00000E-03
1000,2.64154E+05,contents,Precast,4.34828E-02,1.00000E-03
