#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-11T19:28:18', checksum=1495686841, risk_investigation_time=1.0, kind='agg_curves-quantile-0.95'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
50,1.08327E+03,contents,Wood,2.11971E-05,2.00000E-02
100,1.83611E+04,contents,Wood,3.59283E-04,1.00000E-02
250,1.58163E+05,contents,Wood,3.09487E-03,4.00000E-03
500,7.22223E+05,contents,Wood,1.41322E-02,2.00000E-03
1000,2.58736E+06,contents,Wood,5.06286E-02,1.00000E-03
2500,8.08802E+06,contents,Wood,1.58264E-01,4.00000E-04
50,2.41083E+04,nonstructural,Wood,8.12268E-05,2.00000E-02
100,2.42216E+05,nonstructural,Wood,8.16085E-04,1.00000E-02
250,1.22061E+06,nonstructural,Wood,4.11253E-03,4.00000E-03
500,4.23013E+06,nonstructural,Wood,1.42524E-02,2.00000E-03
1000,1.20644E+07,nonstructural,Wood,4.06479E-02,1.00000E-03
2500,3.69959E+07,nonstructural,Wood,1.24648E-01,4.00000E-04
250,2.61680E-03,occupants,Wood,1.36823E-06,4.00000E-03
500,2.21905E-02,occupants,Wood,1.16026E-05,2.00000E-03
1000,1.28170E-01,occupants,Wood,6.70157E-05,1.00000E-03
2500,5.35169E-01,occupants,Wood,2.79821E-04,4.00000E-04
50,6.58278E+05,structural,Wood,8.07629E-03,2.00000E-02
100,1.38871E+06,structural,Wood,1.70379E-02,1.00000E-02
250,2.57759E+06,structural,Wood,3.16240E-02,4.00000E-03
500,5.72566E+06,structural,Wood,7.02470E-02,2.00000E-03
1000,1.41336E+07,structural,Wood,1.73402E-01,1.00000E-03
2500,3.25176E+07,structural,Wood,3.98952E-01,4.00000E-04
50,1.22705E+02,contents,RMasonry,9.30258E-06,2.00000E-02
100,2.01120E+03,contents,RMasonry,1.52473E-04,1.00000E-02
250,2.74432E+04,contents,RMasonry,2.08054E-03,4.00000E-03
500,1.33103E+05,contents,RMasonry,1.00908E-02,2.00000E-03
1000,5.37395E+05,contents,RMasonry,4.07411E-02,1.00000E-03
2500,2.00896E+06,contents,RMasonry,1.52304E-01,4.00000E-04
50,1.15183E+03,nonstructural,RMasonry,4.11549E-05,2.00000E-02
100,1.02794E+04,nonstructural,RMasonry,3.67285E-04,1.00000E-02
250,6.51947E+04,nonstructural,RMasonry,2.32940E-03,4.00000E-03
500,2.27695E+05,nonstructural,RMasonry,8.13554E-03,2.00000E-03
1000,7.53571E+05,nonstructural,RMasonry,2.69251E-02,1.00000E-03
2500,2.61078E+06,nonstructural,RMasonry,9.32833E-02,4.00000E-04
100,5.55000E-06,occupants,RMasonry,1.20448E-08,1.00000E-02
250,1.22562E-03,occupants,RMasonry,2.65989E-06,4.00000E-03
500,1.33013E-02,occupants,RMasonry,2.88669E-05,2.00000E-03
1000,9.16887E-02,occupants,RMasonry,1.98986E-04,1.00000E-03
2500,4.75584E-01,occupants,RMasonry,1.03213E-03,4.00000E-04
50,7.62658E+01,structural,RMasonry,5.21990E-06,2.00000E-02
100,1.63258E+03,structural,RMasonry,1.11739E-04,1.00000E-02
