#,,,,,"generated_by='OpenQuake engine 3.11.3-git29ac352f7d', start_date='2021-07-08T14:05:17', checksum=2950389488, risk_investigation_time=1.0, kind='agg_curves-mean'"
return_period,loss_value,loss_type,GenType,loss_ratio,annual_frequency_of_exceedence
25,1.06831E+01,contents,Wood,2.09044E-07,4.00000E-02
50,3.74855E+02,contents,Wood,7.33505E-06,2.00000E-02
100,4.03690E+03,contents,Wood,7.89928E-05,1.00000E-02
250,4.32026E+04,contents,Wood,8.45375E-04,4.00000E-03
500,1.81048E+05,contents,Wood,3.54268E-03,2.00000E-03
1000,5.99298E+05,contents,Wood,1.17269E-02,1.00000E-03
2500,2.13373E+06,contents,Wood,4.17521E-02,4.00000E-04
25,2.31364E+02,nonstructural,Wood,7.79523E-07,4.00000E-02
50,6.53092E+03,nonstructural,Wood,2.20043E-05,2.00000E-02
100,4.79523E+04,nonstructural,Wood,1.61563E-04,1.00000E-02
250,3.35352E+05,nonstructural,Wood,1.12989E-03,4.00000E-03
500,1.11836E+06,nonstructural,Wood,3.76802E-03,2.00000E-03
1000,3.16965E+06,nonstructural,Wood,1.06793E-02,1.00000E-03
2500,1.01731E+07,nonstructural,Wood,3.42756E-02,4.00000E-04
50,1.39946E-07,occupants,Wood,7.31727E-11,2.00000E-02
100,2.65614E-05,occupants,Wood,1.38880E-08,1.00000E-02
250,8.58331E-04,occupants,Wood,4.48791E-07,4.00000E-03
500,4.98666E-03,occupants,Wood,2.60735E-06,2.00000E-03
1000,2.11172E-02,occupants,Wood,1.10414E-05,1.00000E-03
2500,9.23532E-02,occupants,Wood,4.82883E-05,4.00000E-04
25,1.01083E+04,structural,Wood,1.24017E-04,4.00000E-02
50,1.00026E+05,structural,Wood,1.22720E-03,2.00000E-02
100,3.69650E+05,structural,Wood,4.53517E-03,1.00000E-02
250,1.16228E+06,structural,Wood,1.42598E-02,4.00000E-03
500,2.18293E+06,structural,Wood,2.67819E-02,2.00000E-03
1000,4.08023E+06,structural,Wood,5.00596E-02,1.00000E-03
2500,9.39461E+06,structural,Wood,1.15261E-01,4.00000E-04
25,8.54356E-01,contents,RMasonry,6.47707E-08,4.00000E-02
50,3.61030E+01,contents,RMasonry,2.73705E-06,2.00000E-02
100,5.18202E+02,contents,RMasonry,3.92861E-05,1.00000E-02
250,7.58099E+03,contents,RMasonry,5.74733E-04,4.00000E-03
500,3.63557E+04,contents,RMasonry,2.75621E-03,2.00000E-03
1000,1.31193E+05,contents,RMasonry,9.94605E-03,1.00000E-03
2500,4.90710E+05,contents,RMasonry,3.72019E-02,4.00000E-04
25,7.16533E+00,nonstructural,RMasonry,2.56017E-07,4.00000E-02
50,2.36203E+02,nonstructural,RMasonry,8.43955E-06,2.00000E-02
100,2.04903E+03,nonstructural,RMasonry,7.32117E-05,1.00000E-02
250,1.77381E+04,nonstructural,RMasonry,6.33783E-04,4.00000E-03
500,6.56895E+04,nonstructural,RMasonry,2.34709E-03,2.00000E-03
1000,2.02391E+05,nonstructural,RMasonry,7.23142E-03,1.00000E-03
2500,6.88109E+05,nonstructural,RMasonry,2.45861E-02,4.00000E-04
50,3.95022E-08,occupants,RMasonry,8.57291E-11,2.00000E-02
100,1.08766E-05,occupants,RMasonry,2.36048E-08,1.00000E-02
250,5.20312E-04,occupants,RMasonry,1.12920E-06,4.00000E-03
500,3.80649E-03,occupants,RMasonry,8.26098E-06,2.00000E-03
1000,1.92499E-02,occupants,RMasonry,4.17769E-05,1.00000E-03
2500,9.96477E-02,occupants,RMasonry,2.16259E-04,4.00000E-04
25,3.72319E-01,structural,RMasonry,2.54828E-08,4.00000E-02
50,2.62343E+01,structural,RMasonry,1.79557E-06,2.00000E-02
100,4.12104E+02,structural,RMasonry,2.82059E-05,1.00000E-02
250,5.79449E+03,structural,RMasonry,3.96596E-04,4.00000E-03
500,2.67128E+04,structural,RMasonry,1.82832E-03,2.00000E-03
1000,9.47957E+04,structural,RMasonry,6.48815E-03,1.00000E-03
2500,3.63129E+05,structural,RMasonry,2.48538E-02,4.00000E-04
25,2.37961E+00,contents,Steel,4.33322E-08,4.00000E-02
50,8.70810E+01,contents,Steel,1.58572E-06,2.00000E-02
100,1.08616E+03,contents,Steel,1.97788E-05,1.00000E-02
250,1.33585E+04,contents,Steel,2.43256E-04,4.00000E-03
500,5.89342E+04,contents,Steel,1.07318E-03,2.00000E-03
1000,2.04858E+05,contents,Steel,3.73042E-03,1.00000E-03
2500,7.85007E+05,contents,Steel,1.42948E-02,4.00000E-04
25,6.89596E+01,nonstructural,Steel,6.40890E-07,4.00000E-02
50,1.41772E+03,nonstructural,Steel,1.31759E-05,2.00000E-02
100,1.03435E+04,nonstructural,Steel,9.61297E-05,1.00000E-02
250,7.18871E+04,nonstructural,Steel,6.68098E-04,4.00000E-03
500,2.26524E+05,nonstructural,Steel,2.10525E-03,2.00000E-03
1000,6.11742E+05,nonstructural,Steel,5.68535E-03,1.00000E-03
2500,1.94901E+06,nonstructural,Steel,1.81135E-02,4.00000E-04
25,8.83636E-09,occupants,Steel,5.83289E-12,4.00000E-02
50,1.22959E-05,occupants,Steel,8.11656E-09,2.00000E-02
100,2.73192E-04,occupants,Steel,1.80334E-07,1.00000E-02
250,4.20005E-03,occupants,Steel,2.77246E-06,4.00000E-03
500,1.89096E-02,occupants,Steel,1.24823E-05,2.00000E-03
1000,6.68186E-02,occupants,Steel,4.41070E-05,1.00000E-03
2500,2.58582E-01,occupants,Steel,1.70690E-04,4.00000E-04
25,1.28170E+01,structural,Steel,2.07543E-07,4.00000E-02
50,4.89926E+02,structural,Steel,7.93325E-06,2.00000E-02
100,5.11680E+03,structural,Steel,8.28550E-05,1.00000E-02
250,5.06333E+04,structural,Steel,8.19893E-04,4.00000E-03
500,1.97927E+05,structural,Steel,3.20498E-03,2.00000E-03
1000,6.25574E+05,structural,Steel,1.01298E-02,1.00000E-03
2500,2.28307E+06,structural,Steel,3.69692E-02,4.00000E-04
25,2.55792E+03,contents,URMasonry,3.59785E-05,4.00000E-02
50,3.56504E+04,contents,URMasonry,5.01441E-04,2.00000E-02
100,1.67227E+05,contents,URMasonry,2.35214E-03,1.00000E-02
250,6.60536E+05,contents,URMasonry,9.29079E-03,4.00000E-03
500,1.34462E+06,contents,URMasonry,1.89128E-02,2.00000E-03
1000,2.37142E+06,contents,URMasonry,3.33553E-02,1.00000E-03
2500,4.40281E+06,contents,URMasonry,6.19279E-02,4.00000E-04
25,2.87772E+03,nonstructural,URMasonry,1.88670E-05,4.00000E-02
50,4.28039E+04,nonstructural,URMasonry,2.80633E-04,2.00000E-02
100,2.37368E+05,nonstructural,URMasonry,1.55625E-03,1.00000E-02
250,1.24656E+06,nonstructural,URMasonry,8.17279E-03,4.00000E-03
500,3.30482E+06,nonstructural,URMasonry,2.16672E-02,2.00000E-03
1000,7.57303E+06,nonstructural,URMasonry,4.96507E-02,1.00000E-03
2500,1.85600E+07,nonstructural,URMasonry,1.21684E-01,4.00000E-04
50,5.64265E-07,occupants,URMasonry,1.94193E-10,2.00000E-02
100,1.36967E-04,occupants,URMasonry,4.71374E-08,1.00000E-02
250,7.22204E-03,occupants,URMasonry,2.48548E-06,4.00000E-03
500,5.76272E-02,occupants,URMasonry,1.98325E-05,2.00000E-03
1000,2.94319E-01,occupants,URMasonry,1.01291E-04,1.00000E-03
2500,1.52250E+00,occupants,URMasonry,5.23971E-04,4.00000E-04
25,1.11511E+02,structural,URMasonry,1.39146E-06,4.00000E-02
50,3.72453E+03,structural,URMasonry,4.64759E-05,2.00000E-02
100,3.74334E+04,structural,URMasonry,4.67105E-04,1.00000E-02
250,3.35928E+05,structural,URMasonry,4.19182E-03,4.00000E-03
500,1.18118E+06,structural,URMasonry,1.47391E-02,2.00000E-03
1000,3.27913E+06,structural,URMasonry,4.09179E-02,1.00000E-03
2500,9.37171E+06,structural,URMasonry,1.16943E-01,4.00000E-04
25,8.11759E+00,contents,Concrete,6.15290E-08,4.00000E-02
50,2.83777E+02,contents,Concrete,2.15095E-06,2.00000E-02
100,3.67359E+03,contents,Concrete,2.78448E-05,1.00000E-02
250,4.50384E+04,contents,Concrete,3.41378E-04,4.00000E-03
500,1.90903E+05,contents,Concrete,1.44699E-03,2.00000E-03
1000,6.45037E+05,contents,Concrete,4.88919E-03,1.00000E-03
2500,2.35652E+06,contents,Concrete,1.78617E-02,4.00000E-04
