[2020-09-08 04:06:57 #795 INFO] murray.journeay running /mnt/data/shared/git/canada-2020/canada-srm2/cDamage/input/cDamage_BC5920B_r2.ini [--hc=786]
[2020-09-08 04:06:57 #795 INFO] Using engine version 3.10.0-gite32822a
[2020-09-08 04:06:58 #795 WARNING] Using 64 cores on gem-compute
[2020-09-08 04:06:58 #795 INFO] Checksum of the input files: 2314554279
[2020-09-08 04:06:58 #795 INFO] Reading the risk model if present
[2020-09-08 04:07:01 #795 INFO] Reading /mnt/data/shared/git/canada-2020/model-inputs/exposure/general-building-stock/oqBldgExp_BC5920B.xml
[2020-09-08 04:07:07 #795 INFO] Using asset_hazard_distance=14 km instead of 15 km
[2020-09-08 04:07:07 #795 INFO] Associated 60289 assets to 174 sites
[2020-09-08 04:07:10 #795 INFO] Reducing risk model from 4224 to 655 taxonomies
[2020-09-08 04:07:10 #795 INFO] Storing exposed_values/agg
[2020-09-08 04:07:22 #795 INFO] Building risk inputs from 4096 realization(s)
[2020-09-08 04:07:23 #795 INFO] Built 209 risk inputs
[2020-09-08 04:38:44 #795 INFO] classical_damage  73% [83 submitted, 0 queued]
[2020-09-08 04:39:05 #795 INFO] classical_damage  74% [83 submitted, 0 queued]
[2020-09-08 04:40:06 #795 INFO] classical_damage  75% [83 submitted, 0 queued]
[2020-09-08 04:40:47 #795 INFO] classical_damage  77% [83 submitted, 0 queued]
[2020-09-08 04:41:16 #795 INFO] classical_damage  78% [83 submitted, 0 queued]
[2020-09-08 04:41:17 #795 INFO] classical_damage  79% [83 submitted, 0 queued]
[2020-09-08 04:41:24 #795 INFO] classical_damage  80% [83 submitted, 0 queued]
[2020-09-08 04:42:06 #795 INFO] classical_damage  81% [83 submitted, 0 queued]
[2020-09-08 04:43:16 #795 INFO] classical_damage  83% [83 submitted, 0 queued]
[2020-09-08 04:43:36 #795 INFO] classical_damage  84% [83 submitted, 0 queued]
[2020-09-08 04:43:51 #795 INFO] classical_damage  85% [83 submitted, 0 queued]
[2020-09-08 04:44:06 #795 INFO] classical_damage  86% [83 submitted, 0 queued]
[2020-09-08 04:44:26 #795 INFO] classical_damage  87% [83 submitted, 0 queued]
[2020-09-08 04:44:29 #795 INFO] classical_damage  89% [83 submitted, 0 queued]
[2020-09-08 04:44:37 #795 INFO] classical_damage  90% [83 submitted, 0 queued]
[2020-09-08 04:44:57 #795 INFO] classical_damage  91% [83 submitted, 0 queued]
[2020-09-08 04:45:06 #795 INFO] classical_damage  92% [83 submitted, 0 queued]
[2020-09-08 04:45:22 #795 INFO] classical_damage  93% [83 submitted, 0 queued]
[2020-09-08 04:45:58 #795 INFO] classical_damage  95% [83 submitted, 0 queued]
[2020-09-08 04:46:24 #795 INFO] classical_damage  96% [83 submitted, 0 queued]
[2020-09-08 04:46:47 #795 INFO] classical_damage  97% [83 submitted, 0 queued]
[2020-09-08 04:48:18 #795 INFO] classical_damage  98% [83 submitted, 0 queued]
[2020-09-08 04:48:19 #795 INFO] classical_damage 100% [83 submitted, 0 queued]
[2020-09-08 04:48:19 #795 INFO] Received {'tot': '4.61 GB'} in 2454 seconds
[2020-09-08 04:48:41 #795 INFO] Exposing the outputs to the database
[2020-09-08 04:48:41 #795 INFO] Calculation 795 finished correctly in 2503 seconds
  id | name
4732 | Asset Damage Distributions
4733 | Asset Damage Statistics
4734 | Full Report
4735 | Realizations
