#,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,nation,SS_Region,prname,loss_value,exposed_value,loss_ratio
contents,Canada,East_Arctic,Nunavut,1.48734E+04,1.02369E+09,1.45291E-05
nonstructural,Canada,East_Arctic,Nunavut,6.35667E+04,4.42233E+09,1.43740E-05
occupants,Canada,East_Arctic,Nunavut,1.80412E-03,3.48064E+04,5.18329E-08
structural,Canada,East_Arctic,Nunavut,7.30354E+04,1.37711E+09,5.30354E-05
contents,Canada,East_Arctic,Quebec / Québec,4.31218E+02,6.25065E+07,6.89876E-06
nonstructural,Canada,East_Arctic,Quebec / Québec,3.84618E+03,6.16238E+08,6.24138E-06
occupants,Canada,East_Arctic,Quebec / Québec,2.23408E-05,2.70934E+03,8.24585E-09
structural,Canada,East_Arctic,Quebec / Québec,6.40308E+03,1.56266E+08,4.09754E-05
contents,*total*,*total*,*total*,1.21134E+08,1.19261E+12,1.01570E-04
nonstructural,*total*,*total*,*total*,5.54023E+08,5.20778E+12,1.06384E-04
occupants,*total*,*total*,*total*,2.37017E+01,3.51517E+07,6.74267E-07
structural,*total*,*total*,*total*,5.37627E+08,1.83980E+12,2.92221E-04
