#,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,nation,SS_Region,prname,loss_value,exposed_value,loss_ratio
contents,Canada,West,British Columbia / Colombie-Britannique,2.82236E+07,2.07806E+11,1.35817E-04
nonstructural,Canada,West,British Columbia / Colombie-Britannique,1.16053E+08,8.95089E+11,1.29656E-04
occupants,Canada,West,British Columbia / Colombie-Britannique,3.63824E+00,4.57683E+06,7.94925E-07
structural,Canada,West,British Columbia / Colombie-Britannique,1.24688E+08,3.14437E+11,3.96545E-04
contents,Canada,West,Alberta,6.34332E+05,1.42212E+11,4.46046E-06
nonstructural,Canada,West,Alberta,2.58268E+06,5.93646E+11,4.35054E-06
occupants,Canada,West,Alberta,9.08128E-02,3.95820E+06,2.29429E-08
structural,Canada,West,Alberta,4.15867E+06,2.16212E+11,1.92342E-05
contents,Canada,West,Manitoba,7.31469E+04,3.80219E+10,1.92381E-06
nonstructural,Canada,West,Manitoba,2.92799E+05,1.68265E+11,1.74011E-06
occupants,Canada,West,Manitoba,7.32663E-03,1.11892E+06,6.54795E-09
structural,Canada,West,Manitoba,4.85172E+05,5.98374E+10,8.10817E-06
contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.34761E+03,2.22798E+09,1.95137E-06
nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.87418E+04,8.51074E+09,3.37712E-06
occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.16178E-04,2.96028E+04,3.92458E-09
structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.95706E+04,3.11116E+09,1.27189E-05
contents,Canada,West,Saskatchewan,9.02808E+04,5.69299E+10,1.58582E-06
nonstructural,Canada,West,Saskatchewan,3.28822E+05,2.21114E+11,1.48712E-06
occupants,Canada,West,Saskatchewan,7.91297E-03,1.13027E+06,7.00098E-09
structural,Canada,West,Saskatchewan,7.23558E+05,8.42643E+10,8.58677E-06
contents,Canada,West,Yukon,9.70088E+04,1.79669E+09,5.39932E-05
nonstructural,Canada,West,Yukon,4.31871E+05,7.99670E+09,5.40062E-05
occupants,Canada,West,Yukon,1.31064E-02,3.84729E+04,3.40667E-07
structural,Canada,West,Yukon,6.43069E+05,2.75819E+09,2.33149E-04
contents,Canada,East,Manitoba,4.23030E+03,3.28233E+09,1.28881E-06
nonstructural,Canada,East,Manitoba,1.50666E+04,1.35975E+10,1.10804E-06
occupants,Canada,East,Manitoba,2.61357E-04,9.27780E+04,2.81701E-09
structural,Canada,East,Manitoba,2.95076E+04,4.89232E+09,6.03141E-06
contents,Canada,East,New Brunswick / Nouveau-Brunswick,2.37564E+05,2.20940E+10,1.07525E-05
nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,9.71027E+05,9.69713E+10,1.00136E-05
occupants,Canada,East,New Brunswick / Nouveau-Brunswick,4.27669E-02,7.53747E+05,5.67391E-08
structural,Canada,East,New Brunswick / Nouveau-Brunswick,1.70864E+06,3.41781E+10,4.99924E-05
contents,Canada,East,Nova Scotia / Nouvelle-Écosse,8.72058E+04,2.75125E+10,3.16968E-06
nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,3.60335E+05,1.20644E+11,2.98675E-06
occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,1.27324E-02,9.25041E+05,1.37642E-08
structural,Canada,East,Nova Scotia / Nouvelle-Écosse,9.81094E+05,4.24680E+10,2.31019E-05
contents,Canada,East,Nunavut,1.32008E+01,3.48723E+07,3.78548E-07
nonstructural,Canada,East,Nunavut,5.56155E+01,1.36362E+08,4.07853E-07
occupants,Canada,East,Nunavut,1.11967E-06,1.21006E+03,9.25301E-10
structural,Canada,East,Nunavut,1.42867E+02,3.67238E+07,3.89031E-06
contents,Canada,East,Ontario,7.48787E+06,4.31237E+11,1.73637E-05
nonstructural,Canada,East,Ontario,3.10932E+07,1.80524E+12,1.72238E-05
occupants,Canada,East,Ontario,1.18246E+00,1.36011E+07,8.69386E-08
structural,Canada,East,Ontario,3.32936E+07,6.57250E+11,5.06558E-05
contents,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,1.88736E+04,4.73046E+09,3.98980E-06
nonstructural,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,7.58184E+04,2.02798E+10,3.73862E-06
occupants,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,1.98344E-03,1.33517E+05,1.48553E-08
structural,Canada,East,Prince Edward Island / Île-du-Prince-Édouard,1.92995E+05,7.13117E+09,2.70635E-05
contents,Canada,East,Quebec / Québec,1.48296E+07,2.38742E+11,6.21158E-05
nonstructural,Canada,East,Quebec / Québec,7.32637E+07,1.18130E+12,6.20196E-05
occupants,Canada,East,Quebec / Québec,3.12783E+00,8.27825E+06,3.77837E-07
structural,Canada,East,Quebec / Québec,8.24019E+07,3.87637E+11,2.12575E-04
contents,Canada,East,Newfoundland and Labrador / Terre-Neuve-et-Labrador,2.49641E+04,1.47026E+10,1.69794E-06
nonstructural,Canada,East,Newfoundland and Labrador / Terre-Neuve-et-Labrador,1.05644E+05,6.89008E+10,1.53328E-06
occupants,Canada,East,Newfoundland and Labrador / Terre-Neuve-et-Labrador,2.95053E-03,4.69367E+05,6.28619E-09
structural,Canada,East,Newfoundland and Labrador / Terre-Neuve-et-Labrador,2.68819E+05,2.37144E+10,1.13357E-05
contents,Canada,East_Arctic,Manitoba,1.98741E+02,1.53238E+08,1.29695E-06
nonstructural,Canada,East_Arctic,Manitoba,7.79820E+02,6.97759E+08,1.11761E-06
occupants,Canada,East_Arctic,Manitoba,1.00225E-05,6.32560E+03,1.58443E-09
structural,Canada,East_Arctic,Manitoba,1.26657E+03,2.33634E+08,5.42116E-06
contents,Canada,East_Arctic,Northwest Territories / Territoires du Nord-Ouest,1.42953E+03,4.07023E+07,3.51217E-05
nonstructural,Canada,East_Arctic,Northwest Territories / Territoires du Nord-Ouest,1.18178E+04,3.47199E+08,3.40375E-05
occupants,Canada,East_Arctic,Northwest Territories / Territoires du Nord-Ouest,1.70568E-05,6.23339E+02,2.73636E-08
structural,Canada,East_Arctic,Northwest Territories / Territoires du Nord-Ouest,1.77498E+04,1.01756E+08,1.74436E-04
contents,Canada,East_Arctic,Nunavut,2.87636E+03,1.02369E+09,2.80979E-06
nonstructural,Canada,East_Arctic,Nunavut,1.10277E+04,4.42233E+09,2.49364E-06
occupants,Canada,East_Arctic,Nunavut,2.06748E-04,3.48064E+04,5.93995E-09
structural,Canada,East_Arctic,Nunavut,2.09544E+04,1.37711E+09,1.52163E-05
contents,Canada,East_Arctic,Quebec / Québec,7.15319E+01,6.25065E+07,1.14439E-06
nonstructural,Canada,East_Arctic,Quebec / Québec,6.38109E+02,6.16238E+08,1.03549E-06
occupants,Canada,East_Arctic,Quebec / Québec,1.42771E-06,2.70934E+03,5.26960E-10
structural,Canada,East_Arctic,Quebec / Québec,1.50583E+03,1.56266E+08,9.63631E-06
contents,*total*,*total*,*total*,5.14426E+07,1.19261E+12,4.31345E-05
nonstructural,*total*,*total*,*total*,2.24744E+08,5.20778E+12,4.31555E-05
occupants,*total*,*total*,*total*,8.00273E+00,3.51517E+07,2.27662E-07
structural,*total*,*total*,*total*,2.46997E+08,1.83980E+12,1.34252E-04
