#,,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, risk_investigation_time=1.0, kind='agg_curves-quantile-0.5'"
return_period,loss_value,loss_type,nation,SS_Region,prname,loss_ratio,annual_frequency_of_exceedence
5,1.99075E+06,contents,Canada,West,British Columbia / Colombie-Britannique,9.57982E-06,2.00000E-01
10,1.17780E+07,contents,Canada,West,British Columbia / Colombie-Britannique,5.66780E-05,1.00000E-01
25,5.86816E+07,contents,Canada,West,British Columbia / Colombie-Britannique,2.82386E-04,4.00000E-02
50,1.76235E+08,contents,Canada,West,British Columbia / Colombie-Britannique,8.48075E-04,2.00000E-02
100,4.93345E+08,contents,Canada,West,British Columbia / Colombie-Britannique,2.37406E-03,1.00000E-02
250,1.59957E+09,contents,Canada,West,British Columbia / Colombie-Britannique,7.69740E-03,4.00000E-03
500,2.83675E+09,contents,Canada,West,British Columbia / Colombie-Britannique,1.36510E-02,2.00000E-03
1000,4.32573E+09,contents,Canada,West,British Columbia / Colombie-Britannique,2.08162E-02,1.00000E-03
2500,6.83131E+09,contents,Canada,West,British Columbia / Colombie-Britannique,3.28735E-02,4.00000E-04
5,4.87574E+06,nonstructural,Canada,West,British Columbia / Colombie-Britannique,5.44721E-06,2.00000E-01
10,3.01060E+07,nonstructural,Canada,West,British Columbia / Colombie-Britannique,3.36346E-05,1.00000E-01
25,2.02326E+08,nonstructural,Canada,West,British Columbia / Colombie-Britannique,2.26040E-04,4.00000E-02
50,7.31173E+08,nonstructural,Canada,West,British Columbia / Colombie-Britannique,8.16872E-04,2.00000E-02
100,2.11504E+09,nonstructural,Canada,West,British Columbia / Colombie-Britannique,2.36293E-03,1.00000E-02
250,6.87096E+09,nonstructural,Canada,West,British Columbia / Colombie-Britannique,7.67629E-03,4.00000E-03
500,1.20586E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,1.34720E-02,2.00000E-03
1000,1.80138E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,2.01252E-02,1.00000E-03
2500,2.79214E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,3.11940E-02,4.00000E-04
5,6.43367E-03,occupants,Canada,West,British Columbia / Colombie-Britannique,1.40570E-09,2.00000E-01
10,1.43664E-01,occupants,Canada,West,British Columbia / Colombie-Britannique,3.13893E-08,1.00000E-01
25,2.63823E+00,occupants,Canada,West,British Columbia / Colombie-Britannique,5.76431E-07,4.00000E-02
50,1.09811E+01,occupants,Canada,West,British Columbia / Colombie-Britannique,2.39927E-06,2.00000E-02
100,5.22362E+01,occupants,Canada,West,British Columbia / Colombie-Britannique,1.14132E-05,1.00000E-02
250,2.26657E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,4.95227E-05,4.00000E-03
500,4.42817E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,9.67519E-05,2.00000E-03
1000,6.98935E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,1.52711E-04,1.00000E-03
2500,1.19876E+03,occupants,Canada,West,British Columbia / Colombie-Britannique,2.61920E-04,4.00000E-04
5,3.11980E+07,structural,Canada,West,British Columbia / Colombie-Britannique,9.92186E-05,2.00000E-01
10,1.32816E+08,structural,Canada,West,British Columbia / Colombie-Britannique,4.22393E-04,1.00000E-01
25,5.12621E+08,structural,Canada,West,British Columbia / Colombie-Britannique,1.63028E-03,4.00000E-02
50,1.11491E+09,structural,Canada,West,British Columbia / Colombie-Britannique,3.54573E-03,2.00000E-02
100,2.35295E+09,structural,Canada,West,British Columbia / Colombie-Britannique,7.48306E-03,1.00000E-02
250,5.47191E+09,structural,Canada,West,British Columbia / Colombie-Britannique,1.74022E-02,4.00000E-03
500,8.97016E+09,structural,Canada,West,British Columbia / Colombie-Britannique,2.85277E-02,2.00000E-03
1000,1.22626E+10,structural,Canada,West,British Columbia / Colombie-Britannique,3.89987E-02,1.00000E-03
2500,1.91037E+10,structural,Canada,West,British Columbia / Colombie-Britannique,6.07553E-02,4.00000E-04
10,2.97426E+02,contents,Canada,West,Alberta,2.09142E-09,1.00000E-01
25,1.06896E+05,contents,Canada,West,Alberta,7.51666E-07,4.00000E-02
50,7.38769E+05,contents,Canada,West,Alberta,5.19484E-06,2.00000E-02
100,3.01602E+06,contents,Canada,West,Alberta,2.12079E-05,1.00000E-02
250,1.48992E+07,contents,Canada,West,Alberta,1.04767E-04,4.00000E-03
500,3.78444E+07,contents,Canada,West,Alberta,2.66112E-04,2.00000E-03
1000,8.70182E+07,contents,Canada,West,Alberta,6.11889E-04,1.00000E-03
2500,2.34043E+08,contents,Canada,West,Alberta,1.64573E-03,4.00000E-04
10,6.06182E+02,nonstructural,Canada,West,Alberta,1.02112E-09,1.00000E-01
25,2.69237E+05,nonstructural,Canada,West,Alberta,4.53531E-07,4.00000E-02
50,2.05774E+06,nonstructural,Canada,West,Alberta,3.46627E-06,2.00000E-02
100,9.71863E+06,nonstructural,Canada,West,Alberta,1.63711E-05,1.00000E-02
250,5.48834E+07,nonstructural,Canada,West,Alberta,9.24513E-05,4.00000E-03
500,1.47706E+08,nonstructural,Canada,West,Alberta,2.48812E-04,2.00000E-03
1000,3.67891E+08,nonstructural,Canada,West,Alberta,6.19715E-04,1.00000E-03
2500,1.02541E+09,nonstructural,Canada,West,Alberta,1.72731E-03,4.00000E-04
50,1.78235E-03,occupants,Canada,West,Alberta,4.50294E-10,2.00000E-02
100,5.21399E-02,occupants,Canada,West,Alberta,1.31726E-08,1.00000E-02
250,6.75830E-01,occupants,Canada,West,Alberta,1.70742E-07,4.00000E-03
500,3.61053E+00,occupants,Canada,West,Alberta,9.12163E-07,2.00000E-03
1000,1.08329E+01,occupants,Canada,West,Alberta,2.73682E-06,1.00000E-03
2500,3.58384E+01,occupants,Canada,West,Alberta,9.05421E-06,4.00000E-04
10,7.63695E+04,structural,Canada,West,Alberta,3.53216E-07,1.00000E-01
25,4.99118E+06,structural,Canada,West,Alberta,2.30847E-05,4.00000E-02
50,2.36920E+07,structural,Canada,West,Alberta,1.09578E-04,2.00000E-02
100,7.37012E+07,structural,Canada,West,Alberta,3.40875E-04,1.00000E-02
250,2.22129E+08,structural,Canada,West,Alberta,1.02736E-03,4.00000E-03
500,3.82362E+08,structural,Canada,West,Alberta,1.76846E-03,2.00000E-03
1000,6.21747E+08,structural,Canada,West,Alberta,2.87563E-03,1.00000E-03
2500,1.14067E+09,structural,Canada,West,Alberta,5.27569E-03,4.00000E-04
50,5.80693E+01,contents,Canada,West,Manitoba,1.52726E-09,2.00000E-02
100,6.20187E+04,contents,Canada,West,Manitoba,1.63113E-06,1.00000E-02
250,8.79667E+05,contents,Canada,West,Manitoba,2.31358E-05,4.00000E-03
500,3.31633E+06,contents,Canada,West,Manitoba,8.72217E-05,2.00000E-03
1000,8.25509E+06,contents,Canada,West,Manitoba,2.17114E-04,1.00000E-03
2500,2.42867E+07,contents,Canada,West,Manitoba,6.38755E-04,4.00000E-04
50,1.70673E+02,nonstructural,Canada,West,Manitoba,1.01431E-09,2.00000E-02
100,1.07131E+05,nonstructural,Canada,West,Manitoba,6.36684E-07,1.00000E-02
250,1.69330E+06,nonstructural,Canada,West,Manitoba,1.00633E-05,4.00000E-03
500,7.24868E+06,nonstructural,Canada,West,Manitoba,4.30791E-05,2.00000E-03
1000,2.22920E+07,nonstructural,Canada,West,Manitoba,1.32482E-04,1.00000E-03
2500,8.75974E+07,nonstructural,Canada,West,Manitoba,5.20594E-04,4.00000E-04
250,6.62036E-06,occupants,Canada,West,Manitoba,5.91674E-12,4.00000E-03
500,2.70959E-03,occupants,Canada,West,Manitoba,2.42161E-09,2.00000E-03
1000,5.79382E-02,occupants,Canada,West,Manitoba,5.17805E-08,1.00000E-03
2500,7.56967E-01,occupants,Canada,West,Manitoba,6.76517E-07,4.00000E-04
50,5.28925E+03,structural,Canada,West,Manitoba,8.83937E-08,2.00000E-02
100,1.63298E+06,structural,Canada,West,Manitoba,2.72903E-05,1.00000E-02
250,1.96555E+07,structural,Canada,West,Manitoba,3.28482E-04,4.00000E-03
500,5.83050E+07,structural,Canada,West,Manitoba,9.74390E-04,2.00000E-03
1000,1.06335E+08,structural,Canada,West,Manitoba,1.77707E-03,1.00000E-03
2500,2.10797E+08,structural,Canada,West,Manitoba,3.52283E-03,4.00000E-04
5,8.85411E+01,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.97406E-08,2.00000E-01
10,5.79612E+02,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.60152E-07,1.00000E-01
25,2.98512E+03,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.33984E-06,4.00000E-02
50,1.07041E+04,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.80439E-06,2.00000E-02
100,4.02500E+04,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.80657E-05,1.00000E-02
250,1.67679E+05,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,7.52606E-05,4.00000E-03
500,3.83481E+05,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.72121E-04,2.00000E-03
1000,8.21414E+05,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.68682E-04,1.00000E-03
2500,1.68292E+06,contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,7.55357E-04,4.00000E-04
5,3.34556E+02,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.93098E-08,2.00000E-01
10,2.55101E+03,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.99740E-07,1.00000E-01
25,2.17307E+04,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,2.55333E-06,4.00000E-02
50,9.23802E+04,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.08545E-05,2.00000E-02
100,3.22157E+05,nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,3.78530E-05,1.00000E-02
