#,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, investigation_time=1.0, risk_investigation_time=1.0"
loss_type,nation,SS_Region,prname,loss_value,exposed_value,loss_ratio
contents,Canada,West,British Columbia / Colombie-Britannique,1.44845E+07,2.07806E+11,6.97021E-05
nonstructural,Canada,West,British Columbia / Colombie-Britannique,5.93979E+07,8.95089E+11,6.63597E-05
occupants,Canada,West,British Columbia / Colombie-Britannique,1.88159E+00,4.57683E+06,4.11113E-07
structural,Canada,West,British Columbia / Colombie-Britannique,5.85602E+07,3.14437E+11,1.86238E-04
contents,Canada,West,Alberta,2.35647E+05,1.42212E+11,1.65701E-06
nonstructural,Canada,West,Alberta,9.47284E+05,5.93646E+11,1.59570E-06
occupants,Canada,West,Alberta,2.85259E-02,3.95820E+06,7.20679E-09
structural,Canada,West,Alberta,1.94226E+06,2.16212E+11,8.98315E-06
contents,Canada,West,Manitoba,2.18990E+04,3.80219E+10,5.75957E-07
nonstructural,Canada,West,Manitoba,7.64371E+04,1.68265E+11,4.54268E-07
occupants,Canada,West,Manitoba,8.05821E-04,1.11892E+06,7.20178E-10
structural,Canada,West,Manitoba,1.95280E+05,5.98374E+10,3.26352E-06
contents,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.87085E+03,2.22798E+09,8.39707E-07
nonstructural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.33006E+04,8.51074E+09,1.56281E-06
occupants,Canada,West,Northwest Territories / Territoires du Nord-Ouest,4.15681E-05,2.96028E+04,1.40420E-09
structural,Canada,West,Northwest Territories / Territoires du Nord-Ouest,1.99400E+04,3.11116E+09,6.40917E-06
contents,Canada,West,Saskatchewan,2.75163E+04,5.69299E+10,4.83337E-07
nonstructural,Canada,West,Saskatchewan,1.04176E+05,2.21114E+11,4.71143E-07
occupants,Canada,West,Saskatchewan,2.21852E-03,1.13027E+06,1.96283E-09
structural,Canada,West,Saskatchewan,3.54991E+05,8.42643E+10,4.21283E-06
contents,Canada,West,Yukon,4.99012E+04,1.79669E+09,2.77740E-05
nonstructural,Canada,West,Yukon,2.18426E+05,7.99670E+09,2.73145E-05
occupants,Canada,West,Yukon,7.09587E-03,3.84729E+04,1.84438E-07
structural,Canada,West,Yukon,3.53535E+05,2.75819E+09,1.28177E-04
contents,Canada,East,Manitoba,1.07820E+03,3.28233E+09,3.28485E-07
nonstructural,Canada,East,Manitoba,3.52830E+03,1.35975E+10,2.59482E-07
occupants,Canada,East,Manitoba,3.15042E-05,9.27780E+04,3.39566E-10
structural,Canada,East,Manitoba,1.14541E+04,4.89232E+09,2.34124E-06
contents,Canada,East,New Brunswick / Nouveau-Brunswick,5.07467E+04,2.20940E+10,2.29686E-06
nonstructural,Canada,East,New Brunswick / Nouveau-Brunswick,1.84200E+05,9.69713E+10,1.89954E-06
occupants,Canada,East,New Brunswick / Nouveau-Brunswick,4.38706E-03,7.53747E+05,5.82033E-09
structural,Canada,East,New Brunswick / Nouveau-Brunswick,7.99015E+05,3.41781E+10,2.33780E-05
contents,Canada,East,Nova Scotia / Nouvelle-Écosse,8.52981E+03,2.75125E+10,3.10034E-07
nonstructural,Canada,East,Nova Scotia / Nouvelle-Écosse,2.68388E+04,1.20644E+11,2.22463E-07
occupants,Canada,East,Nova Scotia / Nouvelle-Écosse,2.27046E-04,9.25041E+05,2.45445E-10
structural,Canada,East,Nova Scotia / Nouvelle-Écosse,2.70077E+05,4.24680E+10,6.35955E-06
contents,Canada,East,Nunavut,1.56045E+00,3.48723E+07,4.47476E-08
nonstructural,Canada,East,Nunavut,5.83367E+00,1.36362E+08,4.27809E-08
occupants,Canada,East,Nunavut,5.38199E-11,1.21006E+03,4.44770E-14
structural,Canada,East,Nunavut,5.40777E+01,3.67238E+07,1.47255E-06
