#,,,,,,,"generated_by='OpenQuake engine 3.12.0-gitf8d01fc', start_date='2021-04-26T19:36:09', checksum=1546346122, risk_investigation_time=1.0, kind='agg_curves-quantile-0.95'"
return_period,loss_value,loss_type,nation,SS_Region,prname,loss_ratio,annual_frequency_of_exceedence
5,4.89018E+06,contents,Canada,West,British Columbia / Colombie-Britannique,2.35324E-05,2.00000E-01
10,2.36330E+07,contents,Canada,West,British Columbia / Colombie-Britannique,1.13726E-04,1.00000E-01
25,1.06064E+08,contents,Canada,West,British Columbia / Colombie-Britannique,5.10400E-04,4.00000E-02
50,3.22087E+08,contents,Canada,West,British Columbia / Colombie-Britannique,1.54994E-03,2.00000E-02
100,8.85688E+08,contents,Canada,West,British Columbia / Colombie-Britannique,4.26209E-03,1.00000E-02
250,2.57303E+09,contents,Canada,West,British Columbia / Colombie-Britannique,1.23819E-02,4.00000E-03
500,4.60671E+09,contents,Canada,West,British Columbia / Colombie-Britannique,2.21683E-02,2.00000E-03
1000,6.48409E+09,contents,Canada,West,British Columbia / Colombie-Britannique,3.12026E-02,1.00000E-03
2500,9.15079E+09,contents,Canada,West,British Columbia / Colombie-Britannique,4.40353E-02,4.00000E-04
5,1.32132E+07,nonstructural,Canada,West,British Columbia / Colombie-Britannique,1.47619E-05,2.00000E-01
10,7.07537E+07,nonstructural,Canada,West,British Columbia / Colombie-Britannique,7.90466E-05,1.00000E-01
25,4.14107E+08,nonstructural,Canada,West,British Columbia / Colombie-Britannique,4.62644E-04,4.00000E-02
50,1.34803E+09,nonstructural,Canada,West,British Columbia / Colombie-Britannique,1.50603E-03,2.00000E-02
100,3.80956E+09,nonstructural,Canada,West,British Columbia / Colombie-Britannique,4.25607E-03,1.00000E-02
250,1.09482E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,1.22314E-02,4.00000E-03
500,1.94040E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,2.16783E-02,2.00000E-03
1000,2.72961E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,3.04954E-02,1.00000E-03
2500,3.73698E+10,nonstructural,Canada,West,British Columbia / Colombie-Britannique,4.17499E-02,4.00000E-04
5,3.32048E-02,occupants,Canada,West,British Columbia / Colombie-Britannique,7.25497E-09,2.00000E-01
10,5.42239E-01,occupants,Canada,West,British Columbia / Colombie-Britannique,1.18475E-07,1.00000E-01
25,6.26995E+00,occupants,Canada,West,British Columbia / Colombie-Britannique,1.36993E-06,4.00000E-02
50,3.01802E+01,occupants,Canada,West,British Columbia / Colombie-Britannique,6.59412E-06,2.00000E-02
100,1.06895E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,2.33557E-05,1.00000E-02
250,3.71910E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,8.12593E-05,4.00000E-03
500,7.46931E+02,occupants,Canada,West,British Columbia / Colombie-Britannique,1.63198E-04,2.00000E-03
1000,1.17604E+03,occupants,Canada,West,British Columbia / Colombie-Britannique,2.56956E-04,1.00000E-03
2500,1.75474E+03,occupants,Canada,West,British Columbia / Colombie-Britannique,3.83397E-04,4.00000E-04
5,6.81453E+07,structural,Canada,West,British Columbia / Colombie-Britannique,2.16721E-04,2.00000E-01
