rlz_id,branch_path,weight
0,0~3ALST,4.1666668e-04
1,0~0BLUT,4.1666668e-04
2,0~16LUS,4.1666668e-04
3,0~29MTV,4.1666668e-04
4,0~1ALVU,4.1666668e-04
5,0~24MTT,4.1666668e-04
6,0~1HMTT,4.1666668e-04
7,0~2AMVV,4.1666668e-04
8,0~0BLUV,4.1666668e-04
9,0~39MSU,4.1666668e-04
10,0~0DKTU,4.1666668e-04
11,0~2BMUT,4.1666668e-04
12,0~1EMSV,4.1666668e-04
13,0~1ANUT,4.1666668e-04
14,0~09MSV,4.1666668e-04
15,0~37NTT,4.1666668e-04
16,0~0HNUS,4.1666668e-04
17,0~25NSU,4.1666668e-04
18,0~0EKVU,4.1666668e-04
19,0~15NST,4.1666668e-04
20,0~35KVT,4.1666668e-04
21,0~09NVV,4.1666668e-04
22,0~1ELTU,4.1666668e-04
23,0~0AKTS,4.1666668e-04
24,0~16KUS,4.1666668e-04
25,0~0HNUT,4.1666668e-04
26,0~37NST,4.1666668e-04
27,0~29NVU,4.1666668e-04
28,0~1ENSS,4.1666668e-04
29,0~2AKTS,4.1666668e-04
30,0~09NVU,4.1666668e-04
31,0~38KTV,4.1666668e-04
32,0~3FMUV,4.1666668e-04
33,0~0CKSU,4.1666668e-04
34,0~08LSU,4.1666668e-04
35,0~19LTV,4.1666668e-04
36,0~1BKVV,4.1666668e-04
37,0~39NSU,4.1666668e-04
38,0~0AKTT,4.1666668e-04
39,0~0CLVU,4.1666668e-04
40,0~39LTT,4.1666668e-04
41,0~3ALUS,4.1666668e-04
42,0~3ANSS,4.1666668e-04
43,0~2ALTT,4.1666668e-04
44,0~1ANVV,4.1666668e-04
45,0~0AMTS,4.1666668e-04
46,0~2AMTS,4.1666668e-04
47,0~1AMTT,4.1666668e-04
48,0~0JMTT,4.1666668e-04
49,0~1AMUT,4.1666668e-04
50,0~0BKVT,4.1666668e-04
51,0~3CMSV,4.1666668e-04
52,0~2BLSS,4.1666668e-04
53,0~2JMUU,4.1666668e-04
54,0~3ALTS,4.1666668e-04
55,0~0EKSS,4.1666668e-04
56,0~3AKTS,4.1666668e-04
57,0~2ALST,4.1666668e-04
58,0~3ANUV,4.1666668e-04
59,0~1CNST,4.1666668e-04
60,0~24LTU,4.1666668e-04
61,0~0ELTT,4.1666668e-04
62,0~2IMUU,4.1666668e-04
63,0~3ANUV,4.1666668e-04
64,0~39KSV,4.1666668e-04
65,0~2DMSS,4.1666668e-04
66,0~3GMVS,4.1666668e-04
67,0~29MUS,4.1666668e-04
68,0~1AMTV,4.1666668e-04
69,0~35NTV,4.1666668e-04
70,0~2ALTU,4.1666668e-04
71,0~2FMVU,4.1666668e-04
72,0~3AMVT,4.1666668e-04
73,0~0AMSU,4.1666668e-04
74,0~07MVT,4.1666668e-04
75,0~39LVS,4.1666668e-04
76,0~1ANUU,4.1666668e-04
77,0~1BMVS,4.1666668e-04
78,0~08KTU,4.1666668e-04
