[2021-04-25 01:43:10 #3 INFO] root running /mnt/storage/canada-srm2/ebRisk/input/ebRisk_b0_Canada.ini [--hc=None]
[2021-04-25 01:53:38 #3 INFO] count_ruptures  30% [147 submitted, 21 queued]
[2021-04-25 01:53:38 #3 INFO] count_ruptures  31% [149 submitted, 19 queued]
[2021-04-25 01:53:38 #3 INFO] count_ruptures  32% [150 submitted, 18 queued]
[2021-04-25 01:53:38 #3 INFO] count_ruptures  33% [152 submitted, 16 queued]
[2021-04-25 01:53:38 #3 INFO] count_ruptures  34% [154 submitted, 14 queued]
[2021-04-25 01:53:38 #3 INFO] count_ruptures  35% [155 submitted, 13 queued]
[2021-04-25 01:53:38 #3 INFO] count_ruptures  36% [157 submitted, 11 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  37% [159 submitted, 9 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  38% [160 submitted, 8 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  39% [162 submitted, 6 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  40% [164 submitted, 4 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  41% [165 submitted, 3 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  42% [167 submitted, 1 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  43% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  44% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  45% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  46% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  47% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  48% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  49% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  50% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  51% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  52% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  53% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  54% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  55% [168 submitted, 0 queued]
[2021-04-25 01:53:39 #3 INFO] count_ruptures  56% [168 submitted, 0 queued]
[2021-04-25 01:53:40 #3 INFO] count_ruptures  57% [168 submitted, 0 queued]
